Identified Proteins (1448)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Roco4_PO1
DNA-directed RNA polymerase II subunit rpb1 OS=Dictyostelium discoideum GN=polr2a PE=2 SV=2	sp|P35084|RPB1_DICDI	193 kDa	TRUE	3
Cytosolic purine 5'-nucleotidase OS=Dictyostelium discoideum GN=nt5c2 PE=3 SV=1	sp|Q54XC1|5NTC_DICDI	68 kDa		5
N-terminal delta endotoxin domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0277083 PE=4 SV=1	tr|C7G000|C7G000_DICDI	56 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0284705 PE=4 SV=1	tr|Q54P88|Q54P88_DICDI	50 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191881 PE=4 SV=1	tr|Q54BY8|Q54BY8_DICDI	15 kDa		1
Actin-related protein 2/3 complex subunit 5 OS=Dictyostelium discoideum GN=arcE PE=1 SV=1	sp|O96626|ARPC5_DICDI	15 kDa		6
Putative acetyltransferase DDB_G0275913 OS=Dictyostelium discoideum GN=DDB_G0275913 PE=3 SV=1	sp|Q552S7|Y5913_DICDI	21 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190990 PE=4 SV=1	tr|Q55BV1|Q55BV1_DICDI	71 kDa		5
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=pksB PE=2 SV=1	tr|O15744|O15744_DICDI	29 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168996 PE=4 SV=1	tr|Q86L27|Q86L27_DICDI	44 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204945 PE=4 SV=1	rtr|Q54S16|Q54S16_DICDI	88 kDa	TRUE	0
Mediator of RNA polymerase II transcription subunit 13 OS=Dictyostelium discoideum GN=amiB PE=2 SV=1	sp|Q54S20|MED13_DICDI	299 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169450 PE=4 SV=1	rtr|Q75JM9|Q75JM9_DICDI	260 kDa	TRUE	0
AP-2 complex subunit alpha-2 OS=Dictyostelium discoideum GN=ap2a1-1 PE=3 SV=1	sp|Q86KI1|AP2A2_DICDI	111 kDa	TRUE	4
"Aspartyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=maspS PE=3 SV=1"	sp|Q55C99|SYDM_DICDI	79 kDa		3
RuvB-like helicase 2 OS=Dictyostelium discoideum GN=rvb2 PE=3 SV=1	sp|Q54UW5|RUVB2_DICDI	52 kDa		5
"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=acad8 PE=3 SV=1"	sp|Q54IM8|ACAD8_DICDI	46 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190536 PE=4 SV=1	tr|Q55D72|Q55D72_DICDI	96 kDa		10
Protein phosphatase 2C-related protein OS=Dictyostelium discoideum GN=DDB_0185918 PE=3 SV=1	tr|Q54PX6|Q54PX6_DICDI	44 kDa		7
Crystal protein OS=Dictyostelium discoideum GN=cryS PE=1 SV=1	sp|P21837|CRYS_DICDI	61 kDa	TRUE	12
T-complex protein 1 subunit theta OS=Dictyostelium discoideum GN=cct8 PE=3 SV=1	sp|Q552J0|TCPQ_DICDI	59 kDa		4
Ubiquitin carboxyl-terminal hydrolase A OS=Dictyostelium discoideum GN=ubpA PE=2 SV=2	sp|P54201|UBPA_DICDI	95 kDa	TRUE	6
Translation initiation factor eIF-2B subunit epsilon OS=Dictyostelium discoideum GN=eif2b5 PE=3 SV=1	sp|Q54RF3|EI2BE_DICDI	80 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218308 PE=4 SV=1	tr|Q54TY9|Q54TY9_DICDI	41 kDa		4
Uroporphyrinogen decarboxylase OS=Dictyostelium discoideum GN=hemE PE=1 SV=1	sp|Q54DF9|DCUP_DICDI	41 kDa		0
V-type proton ATPase subunit H OS=Dictyostelium discoideum GN=vatH PE=1 SV=1	sp|Q8MML6|VATH_DICDI	51 kDa		6
Proteasome subunit alpha type-3 OS=Dictyostelium discoideum GN=psmA3 PE=2 SV=2	sp|Q27563|PSA3_DICDI	27 kDa		0
Formate-dihydrofolate ligase OS=Dictyostelium discoideum GN=fthS PE=3 SV=1	tr|Q54G53|Q54G53_DICDI	69 kDa		10
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Dictyostelium discoideum GN=ndufa6 PE=3 SV=1	sp|Q54F42|NDUA6_DICDI	15 kDa		0
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169270 PE=4 SV=1	tr|Q8MMS1|Q8MMS1_DICDI	73 kDa		6
Major outer membrane lipoprotein precurs	sp|P69776|LPP_ECOLI	8 kDa		10
Hybrid signal transduction histidine kinase J OS=Dictyostelium discoideum GN=dhkJ PE=3 SV=2	rsp|Q54YZ9|DHKJ_DICDI	224 kDa	TRUE	1
ABC transporter G family member 9 OS=Dictyostelium discoideum GN=abcG9 PE=3 SV=1	sp|Q8T683|ABCG9_DICDI	164 kDa	TRUE	7
Dynamin like protein OS=Dictyostelium discoideum GN=dlpA PE=4 SV=1	tr|C7FZW1|C7FZW1_DICDI	101 kDa		5
"Probable isoleucyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=mileS PE=3 SV=1"	sp|Q54CE4|SYIM_DICDI	118 kDa	TRUE	1
Putative leucine-rich repeat-containing protein DDB_G0290503 OS=Dictyostelium discoideum GN=DDB_G0290503 PE=4 SV=1	sp|Q54G05|LRRX1_DICDI	175 kDa		9
Protein transport protein Sec61 subunit alpha OS=Dictyostelium discoideum GN=sec61a PE=3 SV=1	sp|Q54XK2|SC61A_DICDI	52 kDa		4
Ras-related protein RabG2 OS=Dictyostelium discoideum GN=rabG2 PE=3 SV=2	sp|Q54FL2|RABG2_DICDI	22 kDa	TRUE	10
Formate acetyltransferase 1 (EC 2.3.1.54	sp|P09373|PFLB_ECOLI	85 kDa	TRUE	3
Ethanolamine-phosphate cytidylyltransferase OS=Dictyostelium discoideum GN=pctA PE=1 SV=1	sp|Q55BZ4|PCY2_DICDI	40 kDa		6
Probable splicing factor 3B subunit 3 OS=Dictyostelium discoideum GN=sf3b3 PE=3 SV=1	sp|Q54SA7|SF3B3_DICDI	140 kDa		3
Zinc finger CCCH domain-containing protein 15 homolog OS=Dictyostelium discoideum GN=DDB_G0292410 PE=3 SV=1	sp|Q54DA5|ZC3HF_DICDI	43 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190808 PE=4 SV=1	tr|Q55CD5|Q55CD5_DICDI	107 kDa		6
Protein transport protein SEC13 OS=Dictyostelium discoideum GN=sec13 PE=3 SV=1	sp|Q54DS8|SEC13_DICDI	34 kDa		2
Copine-B OS=Dictyostelium discoideum GN=cpnB-1 PE=2 SV=1	sp|Q86K21|CPNB_DICDI	59 kDa	TRUE	7
AP-3 complex subunit beta OS=Dictyostelium discoideum GN=ap3b-1 PE=3 SV=1	sp|Q556J8|AP3B_DICDI	127 kDa	TRUE	1
UPF0652 protein OS=Dictyostelium discoideum GN=DDB_G0293552 PE=3 SV=1	sp|Q54BM8|U652_DICDI	78 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191851 PE=4 SV=1	tr|Q54C48|Q54C48_DICDI	78 kDa		2
Senescence marker protein-30 family protein OS=Dictyostelium discoideum GN=rgn PE=4 SV=1	tr|Q54ZP3|Q54ZP3_DICDI	36 kDa		5
Eukaryotic translation initiation factor 3 subunit D OS=Dictyostelium discoideum GN=eif3d PE=3 SV=1	sp|Q554U9|EIF3D_DICDI	60 kDa		8
ATP synthase B chain (EC 3.6.3.14).	sp|P0ABA0|ATPF_ECOLI	17 kDa		8
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290537 PE=3 SV=1	tr|Q54FY1|Q54FY1_DICDI	54 kDa	TRUE	8
Probable 2-hydroxyacyl-CoA lyase 1 OS=Dictyostelium discoideum GN=hacl1 PE=3 SV=1	sp|Q54DA9|HACL1_DICDI	63 kDa	TRUE	5
Methionine adenosyltransferase regulatory beta subunit OS=Dictyostelium discoideum GN=DDB_G0280135 PE=4 SV=1	tr|Q54VU3|Q54VU3_DICDI	37 kDa		5
Diphosphomevalonate decarboxylase OS=Dictyostelium discoideum GN=mvd PE=3 SV=1	sp|Q54YQ9|ERG19_DICDI	43 kDa		3
Malate synthase OS=Dictyostelium discoideum GN=masA PE=2 SV=2	sp|Q8T2K9|MASY_DICDI	62 kDa	TRUE	7
Superoxide dismutase [Cu-Zn] 5 OS=Dictyostelium discoideum GN=sodE PE=3 SV=1	sp|Q54G70|SODC5_DICDI	16 kDa		3
NADP-dependent malic enzyme OS=Dictyostelium discoideum GN=malA PE=2 SV=1	sp|Q6TU48|MAOX_DICDI	61 kDa		6
"Probable 3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase OS=Dictyostelium discoideum GN=mfeB PE=2 SV=1"	sp|Q54XZ0|MFEB_DICDI	32 kDa	TRUE	5
"GDP-mannose 4,6 dehydratase OS=Dictyostelium discoideum GN=gmd PE=2 SV=1"	sp|Q1ZXF7|GMDS_DICDI	41 kDa	TRUE	0
30S ribosomal protein S4.	sp|P0A7V8|RS4_ECOLI	23 kDa	TRUE	1
26S protease regulatory subunit 4 homolog OS=Dictyostelium discoideum GN=psmC1 PE=1 SV=1	sp|Q55BV5|PRS4_DICDI	49 kDa	TRUE	5
Rho-related protein racB OS=Dictyostelium discoideum GN=racB PE=1 SV=1	sp|P34148|RACB_DICDI	22 kDa	TRUE	9
Vesicle-fusing ATPase OS=Dictyostelium discoideum GN=nsfA PE=1 SV=1	sp|Q75JI3|NSF_DICDI	82 kDa		9
Profilin-1 OS=Dictyostelium discoideum GN=proA PE=2 SV=1	sp|P26199|PROF1_DICDI	13 kDa		5
Mannose-1-phosphate guanyltransferase beta OS=Dictyostelium discoideum GN=gmppB PE=2 SV=1	sp|Q54K39|GMPPB_DICDI	39 kDa		0
40S ribosomal protein S27a OS=Dictyostelium discoideum GN=ubqC PE=3 SV=1	sp|P14797|RS27A_DICDI	9 kDa		0
Alkyl hydroperoxide reductase subunit C	sp|P0AE08|AHPC_ECOLI	21 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189721 PE=4 SV=1	tr|Q55FN8|Q55FN8_DICDI	61 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183872 PE=4 SV=1	tr|Q54EQ0|Q54EQ0_DICDI	475 kDa	TRUE	1
von Willebrand factor A domain-containing protein DDB_G0292016 OS=Dictyostelium discoideum GN=DDB_G0292016 PE=4 SV=1	sp|Q54DV3|Y2016_DICDI	102 kDa	TRUE	0
Protein phosphatase 2A 55 kDa regulatory B subunit (Fragment) OS=Dictyostelium discoideum PE=2 SV=1	tr|Q9UA14|Q9UA14_DICDI	55 kDa		0
Insulin-degrading enzyme homolog OS=Dictyostelium discoideum GN=DDB_G0287851 PE=3 SV=1	sp|Q54JQ2|IDE_DICDI	112 kDa		5
Translation initiation factor eIF-2B alpha subunit OS=Dictyostelium discoideum GN=DDB_G0283309 PE=3 SV=1	tr|Q54R90|Q54R90_DICDI	39 kDa	TRUE	4
Coatomer subunit gamma OS=Dictyostelium discoideum GN=copG PE=1 SV=1	sp|Q54HL0|COPG_DICDI	102 kDa	TRUE	4
Eukaryotic peptide chain release factor subunit 1 OS=Dictyostelium discoideum GN=erf1 PE=2 SV=2	sp|Q9BMX0|ERF1_DICDI	49 kDa	TRUE	2
NADH-cytochrome b5 reductase 1 OS=Dictyostelium discoideum GN=cyb5r1 PE=3 SV=1	sp|Q54NC1|NCB5R_DICDI	32 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216653 PE=4 SV=2	tr|Q55E22|Q55E22_DICDI	110 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204712 PE=4 SV=1	tr|Q54UX5|Q54UX5_DICDI	53 kDa		2
Mitochondrial substrate carrier family protein Q OS=Dictyostelium discoideum GN=mcfQ PE=2 SV=1	sp|Q76P23|PM34_DICDI	36 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186819 PE=4 SV=1	tr|Q54M91|Q54M91_DICDI	92 kDa		6
Ribosome maturation protein SBDS OS=Dictyostelium discoideum GN=sbds PE=3 SV=2	sp|Q86KZ5|SBDS_DICDI	31 kDa		4
Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	sp|P0A9P0|DLDH_ECOLI	51 kDa	TRUE	1
Lupus La protein OS=Dictyostelium discoideum GN=DDB_0204655 PE=4 SV=1	tr|Q54TG6|Q54TG6_DICDI	40 kDa		2
Thioredoxin-3 OS=Dictyostelium discoideum GN=trxC PE=1 SV=2	sp|P29447|THIO3_DICDI	12 kDa		5
Transformer-2 protein homolog OS=Dictyostelium discoideum GN=tra2 PE=3 SV=1	sp|Q54Y98|TRA2_DICDI	37 kDa		8
"Methylmalonyl-CoA epimerase, mitochondrial OS=Dictyostelium discoideum GN=mcee PE=3 SV=1"	sp|Q553V2|MCEE_DICDI	18 kDa		0
Methionine synthase (EC 2.1.1.13) (5-met	sp|P13009|METH_ECOLI	136 kDa		6
Aldose reductase B OS=Dictyostelium discoideum GN=alrB PE=3 SV=2	sp|Q54NZ7|ALRB_DICDI	35 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169400 PE=4 SV=1	tr|Q86KR5|Q86KR5_DICDI	14 kDa		1
"3-hydroxyanthranilate 3,4-dioxygenase OS=Dictyostelium discoideum GN=haao PE=3 SV=1"	sp|Q54S02|3HAO_DICDI	21 kDa	TRUE	5
Eukaryotic translation initiation factor 3 subunit E OS=Dictyostelium discoideum GN=eif3e PE=3 SV=1	sp|Q54CC5|EIF3E_DICDI	60 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205008 PE=4 SV=1	tr|Q54RW1|Q54RW1_DICDI	48 kDa		1
Phytanoyl-CoA dioxygenase domain-containing protein 1 homolog OS=Dictyostelium discoideum GN=phyhd1 PE=3 SV=1	sp|Q54XH6|PHYD1_DICDI	32 kDa	TRUE	2
Probable cytochrome b-c1 complex subunit 7 OS=Dictyostelium discoideum GN=DDB_G0286171 PE=3 SV=1	sp|Q54M82|QCR7_DICDI	13 kDa		4
Galactitol-specific phosphotransferase e	sp|P69828|PTKA_ECOLI	17 kDa	TRUE	0
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0279539 PE=4 SV=1	tr|B0G128|B0G128_DICDI	42 kDa		6
DEP domain-containing protein DDB_G0279099 OS=Dictyostelium discoideum GN=DDB_G0279099 PE=3 SV=1	rsp|Q54XA2|Y9099_DICDI	249 kDa	TRUE	0
Calcium-transporting ATPase PAT1 OS=Dictyostelium discoideum GN=patA PE=2 SV=2	sp|P54678|ATC1_DICDI	121 kDa		3
Formin-I OS=Dictyostelium discoideum GN=forI PE=1 SV=1	rsp|Q54PI9|FORI_DICDI	106 kDa		0
UV excision repair protein RAD23 homolog OS=Dictyostelium discoideum GN=rcbA PE=1 SV=1	sp|Q54LV1|RAD23_DICDI	37 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0192196 PE=4 SV=1	tr|Q54B43|Q54B43_DICDI	97 kDa	TRUE	7
"Arginine biosynthesis bifunctional protein argJ, mitochondrial OS=Dictyostelium discoideum GN=argJ PE=3 SV=1"	sp|Q54DY1|ARGJ_DICDI	48 kDa		1
Prespore-specific protein OS=Dictyostelium discoideum GN=3B PE=4 SV=1	tr|Q9BI24|Q9BI24_DICDI	24 kDa		2
Proteasomal ubiquitin receptor ADRM1 homolog OS=Dictyostelium discoideum GN=adrm1-1 PE=1 SV=1	sp|Q556N5|ADRM1_DICDI	32 kDa		2
Formin-B OS=Dictyostelium discoideum GN=forB PE=1 SV=1	sp|Q54SP2|FORB_DICDI	124 kDa		0
COP9 signalosome complex subunit 3 OS=Dictyostelium discoideum GN=csn3 PE=1 SV=1	sp|Q54E53|CSN3_DICDI	47 kDa		7
Serine/threonine-protein phosphatase 4 catalytic subunit OS=Dictyostelium discoideum GN=ppp4c PE=1 SV=1	sp|Q9Y0B7|PP4C_DICDI	35 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184469 PE=3 SV=1	tr|Q54D03|Q54D03_DICDI	32 kDa		4
Probable serine racemase OS=Dictyostelium discoideum GN=srr PE=3 SV=1	sp|Q54HH2|SRR_DICDI	35 kDa		2
Sepiapterin reductase OS=Dictyostelium discoideum GN=sprA PE=1 SV=1	sp|Q54GP3|SPRE_DICDI	30 kDa		3
Ras-related protein Rab-2B OS=Dictyostelium discoideum GN=rab2B PE=3 SV=1	sp|Q559X6|RAB2B_DICDI	23 kDa	TRUE	5
Aldo-keto reductase OS=Dictyostelium discoideum GN=alrE PE=4 SV=1	tr|Q54NR1|Q54NR1_DICDI	33 kDa		2
Coatomer subunit beta OS=Dictyostelium discoideum GN=copb PE=2 SV=2	sp|Q23924|COPB_DICDI	103 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217527 PE=4 SV=1	tr|Q555H5|Q555H5_DICDI	199 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184090 PE=4 SV=1	tr|Q54E30|Q54E30_DICDI	36 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203550 PE=4 SV=1	tr|Q552L7|Q552L7_DICDI	62 kDa		4
Porphobilinogen deaminase OS=Dictyostelium discoideum GN=hemC PE=3 SV=1	sp|Q54P93|HEM3_DICDI	36 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205566 PE=4 SV=1	tr|Q54U01|Q54U01_DICDI	93 kDa	TRUE	4
Zinc finger protein ZPR1 homolog OS=Dictyostelium discoideum GN=zpr1 PE=3 SV=1	sp|Q55E13|ZPR1_DICDI	54 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184083 PE=4 SV=1	tr|Q54E40|Q54E40_DICDI	37 kDa		5
Phosphomannomutase 1 OS=Dictyostelium discoideum GN=pmmA PE=3 SV=1	sp|Q54X03|PMM1_DICDI	29 kDa		2
Uncharacterized protein DDB_G0288155 OS=Dictyostelium discoideum GN=DDB_G0288155 PE=1 SV=1	sp|Q54JC2|Y2881_DICDI	27 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191799 PE=4 SV=1	tr|Q54C73|Q54C73_DICDI	26 kDa		3
Probable nucleosome assembly protein OS=Dictyostelium discoideum GN=nap1 PE=2 SV=1	sp|Q55ED1|NAP1_DICDI	37 kDa		0
Lysosomal beta glucosidase OS=Dictyostelium discoideum GN=gluA PE=1 SV=2	sp|Q23892|GLUA_DICDI	89 kDa		8
"Glutathione-dependent formaldehyde-activating, GFA family protein OS=Dictyostelium discoideum GN=DDB_0205205 PE=4 SV=1"	tr|Q54VC9|Q54VC9_DICDI	17 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204139 PE=1 SV=1	tr|Q54U38|Q54U38_DICDI	30 kDa		1
Farnesyl diphosphate synthase OS=Dictyostelium discoideum GN=Dfps PE=2 SV=1	tr|Q9NH03|Q9NH03_DICDI	44 kDa		0
T-complex protein 1 subunit alpha OS=Dictyostelium discoideum GN=tcp1 PE=2 SV=1	sp|Q55BM4|TCPA_DICDI	59 kDa		6
Dual specificity protein kinase shkC OS=Dictyostelium discoideum GN=shkC PE=3 SV=1	sp|Q54Y55|SHKC_DICDI	57 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190655 PE=4 SV=1	tr|Q55CU4|Q55CU4_DICDI	106 kDa		0
Ribonucleoside-diphosphate reductase large subunit OS=Dictyostelium discoideum GN=rnrA PE=3 SV=1	sp|Q54Q71|RIR1_DICDI	98 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218193 PE=4 SV=1	rtr|Q54W82|Q54W82_DICDI	247 kDa	TRUE	1
SH2 domain-containing protein OS=Dictyostelium discoideum GN=spt6 PE=4 SV=1	rtr|Q55A48|Q55A48_DICDI	203 kDa		0
Casein kinase I OS=Dictyostelium discoideum GN=cak1-1 PE=1 SV=1	sp|Q556Y4|KC1_DICDI	49 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186336 PE=3 SV=1	tr|Q54NQ7|Q54NQ7_DICDI	28 kDa		1
Probable elongator complex protein 2 OS=Dictyostelium discoideum GN=elp2 PE=3 SV=1	sp|Q86H45|ELP2_DICDI	101 kDa		0
PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1	sp|Q55G75|Y7786_DICDI	61 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206357 PE=4 SV=1	tr|Q54VY1|Q54VY1_DICDI	38 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191671 PE=4 SV=1	tr|Q54CK4|Q54CK4_DICDI	39 kDa		2
Exportin-1 OS=Dictyostelium discoideum GN=xpo1 PE=3 SV=2	sp|Q54EV7|XPO1_DICDI	122 kDa	TRUE	1
60S acidic ribosomal protein P1 beta OS=Dictyostelium discoideum GN=rplp1B PE=4 SV=1	tr|Q54JK3|Q54JK3_DICDI	10 kDa	TRUE	3
50S ribosomal protein L4.	sp|P60723|RL4_ECOLI	22 kDa		1
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290535 PE=3 SV=1	tr|Q54FY2|Q54FY2_DICDI	54 kDa	TRUE	8
50S ribosomal protein L9.	sp|P0A7R1|RL9_ECOLI	16 kDa		1
Acetyl-CoA hydrolase OS=Dictyostelium discoideum GN=ach1 PE=3 SV=1	sp|Q54K91|ACH1_DICDI	59 kDa		4
"Glutaryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gcdh PE=3 SV=1"	sp|Q54R47|GCDH_DICDI	46 kDa		4
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0219578 PE=1 SV=1	tr|Q54FW2|Q54FW2_DICDI	32 kDa		1
Protovillin OS=Dictyostelium discoideum GN=vilB PE=1 SV=1	sp|P36418|VILB_DICDI	109 kDa		1
Ubiquitin carrier protein OS=Dictyostelium discoideum GN=DDB_0188059 PE=3 SV=1	tr|Q54IK3|Q54IK3_DICDI	66 kDa		2
Threonine ammonia-lyase OS=Dictyostelium discoideum GN=DDB_G0277245 PE=4 SV=1	tr|Q86AP7|Q86AP7_DICDI	131 kDa		2
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283943 PE=3 SV=1	tr|Q54QC5|Q54QC5_DICDI	55 kDa	TRUE	4
Putative uncharacterized protein DDB_G0288137 OS=Dictyostelium discoideum GN=DDB_G0288137 PE=4 SV=1	sp|Q54JD2|Y8137_DICDI	36 kDa	TRUE	3
Probable cytidine deaminase OS=Dictyostelium discoideum GN=cda PE=3 SV=1	sp|Q54I82|CDD_DICDI	16 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0295739 PE=4 SV=1	tr|C7G071|C7G071_DICDI	38 kDa		3
COP9 signalosome complex subunit 5 OS=Dictyostelium discoideum GN=csn5 PE=1 SV=1	sp|Q54PF3|CSN5_DICDI	38 kDa		1
Inositol monophosphatase OS=Dictyostelium discoideum GN=impa1 PE=3 SV=1	sp|Q54U72|IMPA1_DICDI	30 kDa		1
"Superoxide dismutase [Mn], mitochondrial OS=Dictyostelium discoideum GN=sod2 PE=3 SV=1"	sp|Q55BJ9|SODM_DICDI	25 kDa		3
Malate dehydrogenase (EC 1.1.1.37).	sp|P61889|MDH_ECOLI	32 kDa		1
Probable histidine ammonia-lyase OS=Dictyostelium discoideum GN=hal PE=2 SV=1	sp|Q54JI7|HUTH_DICDI	59 kDa		2
FK506-binding protein 1 OS=Dictyostelium discoideum GN=fkbp1 PE=3 SV=1	sp|Q554J3|FKBP1_DICDI	11 kDa		5
Fructose-bisphosphate aldolase class II	sp|P0AB71|ALF_ECOLI	39 kDa		0
Cell division protein ftsZ.	sp|P0A9A6|FTSZ_ECOLI	40 kDa		0
Citrate lyase subunit beta-like protein OS=Dictyostelium discoideum GN=clybl PE=4 SV=1	tr|Q54Q74|Q54Q74_DICDI	41 kDa	TRUE	0
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187427 PE=4 SV=1	tr|Q54KH9|Q54KH9_DICDI	10 kDa		2
COP9 signalosome complex subunit 1 OS=Dictyostelium discoideum GN=csn1 PE=1 SV=1	sp|Q54QX3|CSN1_DICDI	53 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272476 PE=4 SV=1	tr|Q1ZXN5|Q1ZXN5_DICDI	15 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185806 PE=4 SV=1	tr|Q54Q82|Q54Q82_DICDI	50 kDa		0
"Fructose-1,6-bisphosphatase OS=Dictyostelium discoideum GN=fbp PE=3 SV=1"	sp|Q6RYT0|F16P_DICDI	38 kDa		0
Armadillo-like helical domain-containing protein OS=Dictyostelium discoideum GN=DG1105 PE=4 SV=1	tr|Q54XY4|Q54XY4_DICDI	175 kDa		0
SNF2-related domain-containing protein OS=Dictyostelium discoideum GN=DDB_0217572 PE=4 SV=1	rtr|Q554U4|Q554U4_DICDI	160 kDa		0
Kinesin-related protein 1 OS=Dictyostelium discoideum GN=kif1 PE=1 SV=1	sp|Q9NGQ2|KIF1_DICDI	248 kDa		4
Putative uncharacterized protein amyA OS=Dictyostelium discoideum GN=amyA PE=4 SV=1	tr|Q54TS5|Q54TS5_DICDI	53 kDa		3
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=DDB_G0293770 PE=3 SV=1	tr|B0G199|B0G199_DICDI (+1)	116 kDa	TRUE	5
Signal recognition particle subunit SRP68 OS=Dictyostelium discoideum GN=srp68 PE=3 SV=1	sp|Q1ZXE8|SRP68_DICDI	71 kDa	TRUE	3
U5 small nuclear ribonucleoprotein subunit OS=Dictyostelium discoideum GN=eftud2 PE=4 SV=1	tr|Q54R72|Q54R72_DICDI	115 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186709 PE=4 SV=1	tr|Q54MM9|Q54MM9_DICDI	27 kDa		0
ZZ-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_G0276057 PE=4 SV=1	tr|Q75JM6|Q75JM6_DICDI	60 kDa	TRUE	1
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_G0286669 PE=4 SV=2	tr|Q54LF1|Q54LF1_DICDI	75 kDa		3
Actin binding protein OS=Dictyostelium discoideum GN=enlA PE=4 SV=1	tr|Q75JH9|Q75JH9_DICDI	174 kDa		1
ADP-ribosylation factor-like protein 8 OS=Dictyostelium discoideum GN=arl8 PE=3 SV=1	sp|Q54R04|ARL8_DICDI	21 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189002 PE=4 SV=1	tr|Q54FR8|Q54FR8_DICDI	92 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184335 PE=4 SV=1	tr|Q54DD1|Q54DD1_DICDI	48 kDa		2
