Identified Proteins (1436)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8-GppNHp
Eukaryotic translation initiation factor 3 subunit D OS=Dictyostelium discoideum GN=eif3d PE=3 SV=1	sp|Q554U9|EIF3D_DICDI	60 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191736 PE=4 SV=1	tr|Q54CD7|Q54CD7_DICDI	35 kDa		3
Ras-related protein Rab-2B OS=Dictyostelium discoideum GN=rab2B PE=3 SV=1	sp|Q559X6|RAB2B_DICDI	23 kDa	TRUE	3
Serine/threonine-protein phosphatase PP1 OS=Dictyostelium discoideum GN=pppB PE=1 SV=1	sp|O15757|PP1_DICDI	37 kDa		3
Eukaryotic translation initiation factor 3 subunit F OS=Dictyostelium discoideum GN=eif3f PE=3 SV=1	sp|Q54C49|EIF3F_DICDI	32 kDa		0
Putative uncharacterized protein DDB_G0288137 OS=Dictyostelium discoideum GN=DDB_G0288137 PE=4 SV=1	sp|Q54JD2|Y8137_DICDI	36 kDa	TRUE	3
"3-hydroxybutyryl-CoA dehydratase-like protein, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0271866 PE=3 SV=1"	sp|Q869N6|CRTL_DICDI	33 kDa	TRUE	0
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=pksB PE=2 SV=1	tr|O15744|O15744_DICDI	29 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167402 PE=3 SV=1	tr|Q869Y3|Q869Y3_DICDI	34 kDa		0
Probable phosphoserine aminotransferase OS=Dictyostelium discoideum GN=serC PE=3 SV=1	sp|Q55CQ6|SERC_DICDI	42 kDa		6
Heat shock protein DnaJ family protein OS=Dictyostelium discoideum GN=DDB_0204173 PE=4 SV=1	tr|Q54SQ0|Q54SQ0_DICDI	40 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169073 PE=1 SV=1	tr|Q86K89|Q86K89_DICDI	27 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203550 PE=4 SV=1	tr|Q552L7|Q552L7_DICDI	62 kDa		0
Phospholipase D OS=Dictyostelium discoideum GN=DDB_0190786 PE=4 SV=1	tr|Q55CF8|Q55CF8_DICDI	48 kDa		0
Extracellular superoxide dismutase [Cu-Zn] 3 OS=Dictyostelium discoideum GN=sodC PE=2 SV=1	sp|Q54RQ1|SODC3_DICDI	44 kDa		0
Phospholipase B-like protein E OS=Dictyostelium discoideum GN=plbE PE=3 SV=1	sp|Q54ZI6|PLBLE_DICDI	64 kDa	TRUE	4
Glutamate-ammonia-ligase adenylyltransfe	sp|P30870|GLNE_ECOLI	108 kDa		13
Actin-related protein 2/3 complex subunit 5 OS=Dictyostelium discoideum GN=arcE PE=1 SV=1	sp|O96626|ARPC5_DICDI	15 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202037 PE=4 SV=1	tr|Q55BQ4|Q55BQ4_DICDI	62 kDa	TRUE	0
von Willebrand factor A domain-containing protein DDB_G0286969 OS=Dictyostelium discoideum GN=DDB_G0286969 PE=4 SV=1	sp|C7G046|Y6969_DICDI	228 kDa	TRUE	0
Coatomer subunit beta' OS=Dictyostelium discoideum GN=copb2 PE=3 SV=1	sp|Q54YD8|COPB2_DICDI	113 kDa		0
6-phosphofructokinase OS=Dictyostelium discoideum GN=pfkA PE=2 SV=2	sp|P90521|K6PF_DICDI	92 kDa		2
"Aspartyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=maspS PE=3 SV=1"	sp|Q55C99|SYDM_DICDI	79 kDa		0
Putative phagocytic receptor 1a OS=Dictyostelium discoideum GN=phg1a PE=2 SV=1	sp|Q55FP0|PHG1A_DICDI	73 kDa		0
Hydroxyacylglutathione hydrolase OS=Dictyostelium discoideum GN=hagh PE=3 SV=1	sp|Q54MR1|GLO2_DICDI	30 kDa	TRUE	0
40S ribosomal protein S26 OS=Dictyostelium discoideum GN=rps26 PE=3 SV=1	sp|Q54TL8|RS26_DICDI	13 kDa		0
Developmentally-regulated GTP-binding protein 1 homolog OS=Dictyostelium discoideum GN=drg1 PE=3 SV=1	sp|Q54HP3|DRG1_DICDI	41 kDa	TRUE	4
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=ppiD PE=4 SV=1	tr|Q54QS2|Q54QS2_DICDI	39 kDa	TRUE	4
Putative uncharacterized protein empD OS=Dictyostelium discoideum GN=empD PE=2 SV=1	tr|Q769F6|Q769F6_DICDI	25 kDa		0
UPF0553 protein OS=Dictyostelium discoideum GN=DDB_G0288723 PE=3 SV=1	sp|Q54II8|U553_DICDI	38 kDa	TRUE	0
40S ribosomal protein S15 OS=Dictyostelium discoideum GN=rps15 PE=3 SV=1	sp|Q54N17|RS15_DICDI	16 kDa	TRUE	4
Eukaryotic translation initiation factor 3 subunit L OS=Dictyostelium discoideum GN=eif3l PE=3 SV=1	sp|Q86LA2|EIF3L_DICDI	71 kDa		0
30S ribosomal protein S7.	sp|P02359|RS7_ECOLI	20 kDa		10
DNA-directed RNA polymerase II subunit rpb1 OS=Dictyostelium discoideum GN=polr2a PE=2 SV=2	sp|P35084|RPB1_DICDI	193 kDa	TRUE	0
Zinc finger CCCH domain-containing protein 15 homolog OS=Dictyostelium discoideum GN=DDB_G0292410 PE=3 SV=1	sp|Q54DA5|ZC3HF_DICDI	43 kDa		2
Probable nucleosome assembly protein OS=Dictyostelium discoideum GN=nap1 PE=2 SV=1	sp|Q55ED1|NAP1_DICDI	37 kDa		0
Probable elongator complex protein 2 OS=Dictyostelium discoideum GN=elp2 PE=3 SV=1	sp|Q86H45|ELP2_DICDI	101 kDa	TRUE	0
Alpha adducin OS=Dictyostelium discoideum GN=ahhA PE=4 SV=1	tr|Q54T47|Q54T47_DICDI	30 kDa		6
Zinc finger protein ZPR1 homolog OS=Dictyostelium discoideum GN=zpr1 PE=3 SV=1	sp|Q55E13|ZPR1_DICDI	54 kDa		4
Lupus La protein OS=Dictyostelium discoideum GN=DDB_0204655 PE=4 SV=1	tr|Q54TG6|Q54TG6_DICDI	40 kDa		4
AMP deaminase OS=Dictyostelium discoideum GN=amdA PE=1 SV=1	sp|Q54DD0|AMPD_DICDI	91 kDa		0
Lysine-specific demethylase NO66 OS=Dictyostelium discoideum GN=jcdg PE=3 SV=1	sp|Q54K96|NO66_DICDI	59 kDa		4
50S ribosomal protein L10 (50S ribosomal	sp|P0A7J3|RL10_ECOLI	18 kDa		15
Isochorismatase hydrolase OS=Dictyostelium discoideum GN=DDB_G0295669 PE=4 SV=1	tr|B0G192|B0G192_DICDI	20 kDa		2
ABC transporter G family member 9 OS=Dictyostelium discoideum GN=abcG9 PE=3 SV=1	sp|Q8T683|ABCG9_DICDI	164 kDa	TRUE	0
Reticulon family protein OS=Dictyostelium discoideum GN=rtnlc PE=4 SV=1	tr|Q54CA6|Q54CA6_DICDI	35 kDa		3
Calcium-binding mitochondrial carrier protein OS=Dictyostelium discoideum GN=mcfO PE=3 SV=1	sp|Q54RB9|CMC_DICDI	86 kDa		0
RING zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_G0284853 PE=4 SV=2	tr|Q54P29|Q54P29_DICDI	469 kDa	TRUE	0
Protein VASP homolog OS=Dictyostelium discoideum GN=vasp PE=1 SV=1	sp|Q5TJ65|VASP_DICDI	39 kDa		12
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187993 PE=3 SV=1	tr|Q54IS1|Q54IS1_DICDI	34 kDa		2
C2 calcium/lipid-binding region-containing protein OS=Dictyostelium discoideum GN=DDB_0202870 PE=1 SV=1	tr|Q55BH2|Q55BH2_DICDI	172 kDa	TRUE	0
Membrane bound O-acyl transferase family protein OS=Dictyostelium discoideum GN=DDB_0205522 PE=4 SV=1	tr|Q54XX2|Q54XX2_DICDI	54 kDa		0
Putative uncharacterized protein dlrA OS=Dictyostelium discoideum GN=dlrA PE=4 SV=1	tr|Q54FR1|Q54FR1_DICDI	90 kDa		0
Myosin IC heavy chain OS=Dictyostelium discoideum GN=myoC PE=4 SV=2	sp|P42522|MYOC_DICDI	133 kDa	TRUE	0
Polyphosphate kinase OS=Dictyostelium discoideum GN=ppkA PE=1 SV=1	sp|Q54BM7|PPK_DICDI	118 kDa	TRUE	0
T-complex protein 1 subunit theta OS=Dictyostelium discoideum GN=cct8 PE=3 SV=1	sp|Q552J0|TCPQ_DICDI	59 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204712 PE=4 SV=1	tr|Q54UX5|Q54UX5_DICDI	53 kDa	TRUE	4
Putative leucine-rich repeat-containing protein DDB_G0290503 OS=Dictyostelium discoideum GN=DDB_G0290503 PE=4 SV=1	sp|Q54G05|LRRX1_DICDI	175 kDa		0
Adenylosuccinate lyase OS=Dictyostelium discoideum GN=purB PE=3 SV=1	sp|Q54J34|PUR8_DICDI	53 kDa	TRUE	5
Proteasome subunit beta type-4 OS=Dictyostelium discoideum GN=psmB4-1 PE=3 SV=1	sp|Q556Q0|PSB4_DICDI	29 kDa		0
N-terminal delta endotoxin domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0277083 PE=4 SV=1	tr|C7G000|C7G000_DICDI	56 kDa		4
"Peptidase M41, FtsH domain-containing protein OS=Dictyostelium discoideum GN=rcaA PE=4 SV=1"	tr|Q75JS8|Q75JS8_DICDI	94 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205814 PE=4 SV=1	tr|Q54WP6|Q54WP6_DICDI	67 kDa	TRUE	0
V-type proton ATPase subunit D OS=Dictyostelium discoideum GN=atp6v1d PE=1 SV=1	sp|Q86A77|VATD_DICDI	29 kDa		10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183846 PE=4 SV=1	tr|Q54ES4|Q54ES4_DICDI	21 kDa		4
Aldose 1-epimerase family protein OS=Dictyostelium discoideum GN=DDB_0218007 PE=4 SV=1	tr|Q54ZC6|Q54ZC6_DICDI	38 kDa		0
Proteasome subunit alpha type-3 OS=Dictyostelium discoideum GN=psmA3 PE=2 SV=2	sp|Q27563|PSA3_DICDI	27 kDa		2
"Probable arginyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=argS1 PE=3 SV=1"	sp|Q558Z0|SYRC_DICDI	67 kDa	TRUE	4
26S proteasome non-ATPase regulatory subunit 11 OS=Dictyostelium discoideum GN=psmD11 PE=2 SV=1	sp|Q54UB5|PSD11_DICDI	48 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185787 PE=4 SV=1	tr|Q54QA4|Q54QA4_DICDI	84 kDa		0
Proteasome subunit beta type-7 OS=Dictyostelium discoideum GN=psmB7 PE=3 SV=1	sp|Q54QR2|PSB7_DICDI	29 kDa		0
Eukaryotic translation initiation factor 1A OS=Dictyostelium discoideum GN=eif1a PE=3 SV=1	sp|Q54YJ6|IF1A_DICDI	16 kDa	TRUE	3
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Dictyostelium discoideum GN=ndufs4 PE=3 SV=2"	sp|Q8T1V6|NDUS4_DICDI	22 kDa		6
Enoyl-CoA hydratase OS=Dictyostelium discoideum GN=DDB_G0293354 PE=3 SV=1	tr|Q54BX7|Q54BX7_DICDI	33 kDa	TRUE	0
"Probable 3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase OS=Dictyostelium discoideum GN=mfeB PE=2 SV=1"	sp|Q54XZ0|MFEB_DICDI	32 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191881 PE=4 SV=1	tr|Q54BY8|Q54BY8_DICDI	15 kDa		4
60S ribosomal protein L35 OS=Dictyostelium discoideum GN=rpl35 PE=3 SV=1	sp|Q54J23|RL35_DICDI	14 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204927 PE=4 SV=1	tr|Q54S30|Q54S30_DICDI	74 kDa	TRUE	5
Uroporphyrinogen decarboxylase OS=Dictyostelium discoideum GN=hemE PE=1 SV=1	sp|Q54DF9|DCUP_DICDI	41 kDa		3
Phenylalanyl-tRNA synthetase beta chain	rsp|P07395|SYFB_ECOLI	87 kDa	TRUE	0
AP-1 complex subunit gamma OS=Dictyostelium discoideum GN=ap1g1 PE=1 SV=1	sp|Q8I8U2|AP1G_DICDI	100 kDa	TRUE	0
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0201846 PE=1 SV=1	tr|Q55D63|Q55D63_DICDI	43 kDa		2
P-type ATPase OS=Dictyostelium discoideum GN=DDB_G0284605 PE=3 SV=1	tr|Q54PE8|Q54PE8_DICDI	102 kDa		0
Nuclear protein localization protein 4 homolog OS=Dictyostelium discoideum GN=nploc4 PE=3 SV=1	sp|Q54GD3|NPL4_DICDI	64 kDa	TRUE	0
Serine/threonine-protein phosphatase 4 catalytic subunit OS=Dictyostelium discoideum GN=ppp4c PE=1 SV=1	sp|Q9Y0B7|PP4C_DICDI	35 kDa	TRUE	5
40S ribosomal protein S25 OS=Dictyostelium discoideum GN=rps25 PE=3 SV=1	sp|Q03409|RS25_DICDI	12 kDa		5
Protein phosphatase 2C-related protein OS=Dictyostelium discoideum GN=DDB_0185918 PE=3 SV=1	tr|Q54PX6|Q54PX6_DICDI	44 kDa		0
Nucleoporin 133 OS=Dictyostelium discoideum GN=nup133 PE=4 SV=1	tr|Q54KA3|Q54KA3_DICDI	138 kDa		0
Ras-related protein RabG2 OS=Dictyostelium discoideum GN=rabG2 PE=3 SV=2	sp|Q54FL2|RABG2_DICDI	22 kDa	TRUE	6
Endoplasmic reticulum transmembrane protein YET-like OS=Dictyostelium discoideum GN=DDB_G0287543 PE=3 SV=2	sp|Q54K74|YETL_DICDI	24 kDa	TRUE	6
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=DDB_0217656 PE=3 SV=1	tr|Q553T4|Q553T4_DICDI	343 kDa	TRUE	0
NADPH oxidoreductase B OS=Dictyostelium discoideum GN=redB PE=2 SV=1	sp|Q55CT1|REDB_DICDI	76 kDa	TRUE	0
COP9 signalosome complex subunit 3 OS=Dictyostelium discoideum GN=csn3 PE=1 SV=1	sp|Q54E53|CSN3_DICDI	47 kDa		0
Heat shock protein Ddj1 OS=Dictyostelium discoideum GN=Ddj1 PE=1 SV=1	tr|O96455|O96455_DICDI (+1)	46 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204937 PE=4 SV=1	tr|Q54S23|Q54S23_DICDI	126 kDa	TRUE	0
Bacterial transferase hexapeptide repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0218053 PE=4 SV=1	tr|Q54YS4|Q54YS4_DICDI	31 kDa		2
"Arginine biosynthesis bifunctional protein argJ, mitochondrial OS=Dictyostelium discoideum GN=argJ PE=3 SV=1"	sp|Q54DY1|ARGJ_DICDI	48 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190384 PE=3 SV=1	tr|Q55DN6|Q55DN6_DICDI	43 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190788 PE=4 SV=1	tr|Q55CF6|Q55CF6_DICDI	58 kDa	TRUE	0
Eukaryotic translation initiation factor 3 subunit K OS=Dictyostelium discoideum GN=eif3k PE=3 SV=2	sp|Q54EQ1|EIF3K_DICDI	29 kDa		2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0219578 PE=1 SV=1	tr|Q54FW2|Q54FW2_DICDI	32 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168996 PE=4 SV=1	tr|Q86L27|Q86L27_DICDI	44 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191799 PE=4 SV=1	tr|Q54C73|Q54C73_DICDI	26 kDa		0
"Prohibitin-1, mitochondrial OS=Dictyostelium discoideum GN=phbA PE=3 SV=1"	sp|Q54GI9|PHB1_DICDI	30 kDa		0
Methionine adenosyltransferase regulatory beta subunit OS=Dictyostelium discoideum GN=DDB_G0280135 PE=4 SV=1	tr|Q54VU3|Q54VU3_DICDI	37 kDa	TRUE	5
Phytanoyl-CoA dioxygenase domain-containing protein 1 homolog OS=Dictyostelium discoideum GN=phyhd1 PE=3 SV=1	sp|Q54XH6|PHYD1_DICDI	32 kDa	TRUE	5
"3-hydroxyanthranilate 3,4-dioxygenase OS=Dictyostelium discoideum GN=haao PE=3 SV=1"	sp|Q54S02|3HAO_DICDI	21 kDa		0
Translationally-controlled tumor protein homolog 1 OS=Dictyostelium discoideum GN=DDB_G0282853 PE=3 SV=1	sp|Q54RX6|TCTP1_DICDI	20 kDa		6
Thiamine pyrophosphate-binding enzyme family protein OS=Dictyostelium discoideum GN=ilvB PE=3 SV=1	tr|B0G117|B0G117_DICDI	71 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188978 PE=1 SV=1	tr|Q54FU0|Q54FU0_DICDI	16 kDa		4
Citrate synthase OS=Dictyostelium discoideum GN=gltA PE=3 SV=1	sp|Q86AV6|CISYC_DICDI	58 kDa		0
"Pyruvate dehydrogenase complex subunit homolog DDB_G0271564, mitochondrial OS=Dictyostelium discoideum GN=pdhX PE=3 SV=1"	sp|Q86AD5|Y1564_DICDI	46 kDa		2
T-complex protein 1 subunit eta OS=Dictyostelium discoideum GN=cct7 PE=3 SV=1	sp|Q54ER7|TCPH_DICDI	61 kDa		4
UPF0652 protein OS=Dictyostelium discoideum GN=DDB_G0293552 PE=3 SV=1	sp|Q54BM8|U652_DICDI	78 kDa		0
32 kDa heat shock protein OS=Dictyostelium discoideum GN=hspC PE=2 SV=1	sp|P54658|HS32_DICDI	31 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0269740 PE=4 SV=1	tr|Q55D91|Q55D91_DICDI	84 kDa	TRUE	0
Eukaryotic translation initiation factor 5B OS=Dictyostelium discoideum GN=eif5b PE=3 SV=1	rsp|Q54XP6|IF2P_DICDI	116 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204081 PE=4 SV=1	tr|Q54U91|Q54U91_DICDI	156 kDa	TRUE	0
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290535 PE=3 SV=1	tr|Q54FY2|Q54FY2_DICDI	54 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188248 PE=4 SV=1	tr|Q54I12|Q54I12_DICDI	146 kDa	TRUE	0
Prohibitin-2 OS=Dictyostelium discoideum GN=phbB PE=3 SV=1	sp|Q54Q31|PHB2_DICDI	33 kDa		0
Ras-related protein Rab-5A OS=Dictyostelium discoideum GN=rab5A PE=3 SV=1	sp|Q86JP3|RAB5A_DICDI	22 kDa		4
UPF0053 inner membrane protein ytfL.	sp|P0AE45|YTFL_ECOLI	50 kDa		0
Myosin heavy chain kinase C OS=Dictyostelium discoideum GN=mhkC PE=1 SV=1	sp|Q8MY12|MHCKC_DICDI	86 kDa		0
DNA-directed RNA polymerase II subunit rpb2 OS=Dictyostelium discoideum GN=polr2b PE=3 SV=1	sp|Q54J75|RPB2_DICDI	132 kDa		0
Ankyrin repeat-containing protein OS=Dictyostelium discoideum GN=DDB_G0289141 PE=4 SV=2	tr|Q54HY5|Q54HY5_DICDI	197 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186819 PE=4 SV=1	tr|Q54M91|Q54M91_DICDI	92 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190529 PE=4 SV=1	tr|Q55D79|Q55D79_DICDI	67 kDa		4
DEAD/DEAH box helicase OS=Dictyostelium discoideum GN=uap56 PE=4 SV=1	tr|Q55CR6|Q55CR6_DICDI	48 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183870 PE=4 SV=1	tr|Q54EQ2|Q54EQ2_DICDI	17 kDa		2
Phosphoglucomutase-1 OS=Dictyostelium discoideum GN=pgmA PE=2 SV=1	sp|Q23919|PGM1_DICDI	63 kDa		6
"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Dictyostelium discoideum GN=ndufv2 PE=3 SV=1"	sp|Q54F10|NDUV2_DICDI	28 kDa		3
Translation initiation factor eIF-2B alpha subunit OS=Dictyostelium discoideum GN=DDB_G0283309 PE=3 SV=1	tr|Q54R90|Q54R90_DICDI	39 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189206 PE=4 SV=1	tr|Q54F90|Q54F90_DICDI	96 kDa	TRUE	4
Tyrosine-tRNA ligase OS=Dictyostelium discoideum GN=tyrS PE=4 SV=1	tr|Q551A1|Q551A1_DICDI	44 kDa		2
Peptidase M16 family protein OS=Dictyostelium discoideum GN=pitrm1 PE=3 SV=2	tr|Q8MP58|Q8MP58_DICDI	121 kDa	TRUE	0
"Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region domain-containing protein OS=Dictyostelium discoideum GN=DDB_0168392 PE=4 SV=1"	tr|Q86AE2|Q86AE2_DICDI	66 kDa	TRUE	0
Mitochondrial substrate carrier family protein G OS=Dictyostelium discoideum GN=mcfG PE=2 SV=1	sp|Q54BM3|MCFG_DICDI	32 kDa		3
Signal recognition particle 72 kDa protein homolog OS=Dictyostelium discoideum GN=srp72 PE=3 SV=1	sp|Q54EP7|SRP72_DICDI	76 kDa		0
Aldo-keto reductase OS=Dictyostelium discoideum GN=alrE PE=4 SV=1	tr|Q54NR1|Q54NR1_DICDI	33 kDa		0
Branched-chain-amino-acid aminotransferase OS=Dictyostelium discoideum GN=bcaA PE=3 SV=1	sp|Q54N47|BCAT_DICDI	42 kDa	TRUE	8
30S ribosomal protein S1.	sp|P0AG67|RS1_ECOLI	61 kDa		9
Oxysterol-binding protein 6 OS=Dictyostelium discoideum GN=osbF PE=3 SV=1	sp|Q86HV4|OSB6_DICDI	50 kDa	TRUE	0
Beta-lactamase family protein OS=Dictyostelium discoideum GN=DDB_G0282095 PE=4 SV=1	tr|C7G020|C7G020_DICDI	103 kDa		0
Regulator of chromosome condensation domain-containing protein OS=Dictyostelium discoideum GN=DDB_0184460 PE=4 SV=1	tr|Q54D12|Q54D12_DICDI	50 kDa		0
PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1	sp|Q55G75|Y7786_DICDI	61 kDa		7
Cytidylate kinase OS=Dictyostelium discoideum GN=pyrK PE=1 SV=2	sp|P20425|KCY_DICDI	22 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202949 PE=4 SV=1	tr|Q551A9|Q551A9_DICDI	88 kDa	TRUE	9
Alkyl hydroperoxide reductase subunit C	sp|P0AE08|AHPC_ECOLI	21 kDa		8
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201681 PE=4 SV=1	tr|Q55EC2|Q55EC2_DICDI	49 kDa		0
DOCK family protein OS=Dictyostelium discoideum GN=docB PE=4 SV=1	rtr|Q55BQ8|Q55BQ8_DICDI	244 kDa	TRUE	0
Nascent polypeptide-associated complex subunit alpha OS=Dictyostelium discoideum GN=nacA PE=3 SV=1	sp|Q54U07|NACA_DICDI	17 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189873 PE=4 SV=1	tr|Q55F80|Q55F80_DICDI	99 kDa		0
Cytochrome d ubiquinol oxidase subunit I	sp|P0ABJ9|CYDA_ECOLI	58 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219564 PE=1 SV=1	tr|Q54G31|Q54G31_DICDI	80 kDa	TRUE	0
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3 OS=Dictyostelium discoideum GN=stt3 PE=3 SV=1	sp|Q54NM9|STT3_DICDI	81 kDa	TRUE	0
"Histidyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=hisS PE=3 SV=1"	sp|Q86AS6|SYHC_DICDI	54 kDa		5
Ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=DDB_G0293770 PE=3 SV=1	tr|B0G199|B0G199_DICDI (+1)	116 kDa		0
Eukaryotic peptide chain release factor GTP-binding subunit OS=Dictyostelium discoideum GN=erf3 PE=2 SV=1	sp|Q7YZN9|ERF3_DICDI	61 kDa		3
Phosphoribosylglycinamide formyltransferase OS=Dictyostelium discoideum GN=purN PE=3 SV=1	sp|Q54I60|PUR3_DICDI	23 kDa	TRUE	3
Ras-related protein Rab-2A OS=Dictyostelium discoideum GN=rab2A PE=2 SV=2	sp|P36409|RAB2A_DICDI	23 kDa		6
Random slug protein 5 OS=Dictyostelium discoideum GN=rsc5 PE=2 SV=1	sp|Q55CU8|RSC5_DICDI	42 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201905 PE=4 SV=1	tr|Q55CS1|Q55CS1_DICDI	16 kDa		4
Probable 2-ketogluconate reductase OS=Dictyostelium discoideum GN=tkrA PE=3 SV=1	sp|Q54DP1|TKRA_DICDI	37 kDa		0
Proteasomal ubiquitin receptor ADRM1 homolog OS=Dictyostelium discoideum GN=adrm1-1 PE=1 SV=1	sp|Q556N5|ADRM1_DICDI	32 kDa	TRUE	9
COP9 signalosome complex subunit 8 OS=Dictyostelium discoideum GN=csn8 PE=1 SV=1	sp|Q75K24|CSN8_DICDI	23 kDa		4
Myosin light chain kinase A OS=Dictyostelium discoideum GN=mlkA PE=1 SV=2	sp|P25323|MYLKA_DICDI	33 kDa	TRUE	5
Sucraseferredoxin-like family protein OS=Dictyostelium discoideum GN=DDB_0191047 PE=4 SV=1	tr|Q55BP2|Q55BP2_DICDI	36 kDa		6
TPR repeat-containing protein DDB_G0285095 OS=Dictyostelium discoideum GN=DDB_G0285095 PE=4 SV=1	sp|Q54NS3|Y5095_DICDI	30 kDa		9
Probable ornithine decarboxylase OS=Dictyostelium discoideum GN=odc PE=3 SV=1	sp|Q54UF3|DCOR_DICDI	52 kDa		7
Small glutamine-rich tetratricopeptide repeat-containing protein OS=Dictyostelium discoideum GN=sgt PE=1 SV=1	sp|Q54VG4|SGT_DICDI	37 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0288519 PE=4 SV=1	tr|Q54IU1|Q54IU1_DICDI	52 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204618 PE=4 SV=1	tr|Q54TK2|Q54TK2_DICDI	46 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0295739 PE=4 SV=1	tr|C7G071|C7G071_DICDI	38 kDa		6
Ribonucleoside-diphosphate reductase large subunit OS=Dictyostelium discoideum GN=rnrA PE=3 SV=1	sp|Q54Q71|RIR1_DICDI	98 kDa	TRUE	2
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase OS=Dictyostelium discoideum GN=plc PE=2 SV=1"	sp|Q02158|PLC_DICDI	91 kDa	TRUE	0
Coatomer subunit delta OS=Dictyostelium discoideum GN=copd PE=3 SV=1	sp|Q55EZ6|COPD_DICDI	60 kDa		0
Putative uncharacterized protein mipA OS=Dictyostelium discoideum GN=mipA PE=4 SV=1	tr|Q54CK5|Q54CK5_DICDI	157 kDa		0
Probable splicing factor 3B subunit 3 OS=Dictyostelium discoideum GN=sf3b3 PE=3 SV=1	sp|Q54SA7|SF3B3_DICDI	140 kDa	TRUE	0
