Identified Proteins (942)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	GST-GppNHp
N-alpha-acetyltransferase 50 OS=Homo sapiens GN=NAA50 PE=4 SV=1	tr|C9J5D1|C9J5D1_HUMAN	15 kDa		0
"Calcium/calmodulin-dependent protein kinase (CaM kinase) II delta, isoform CRA_e OS=Homo sapiens GN=CAMK2D PE=4 SV=1"	tr|D6R938|D6R938_HUMAN (+1)	56 kDa	TRUE	5
Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=4 SV=1	tr|F5GX11|F5GX11_HUMAN	27 kDa		2
3-deoxy-manno-octulosonate cytidylyltransferase OS=Escherichia coli GN=kdsB PE=3 SV=1	tr|E2QDV9|E2QDV9_ECOLX	27 kDa		0
Fumarate reductase flavoprotein subunit OS=Escherichia coli GN=frdA PE=4 SV=1	tr|E2QK93|E2QK93_ECOLX	66 kDa		0
Putative deoxyribose-phosphate aldolase OS=Homo sapiens GN=DERA PE=4 SV=1	tr|E9PPM8|E9PPM8_HUMAN	31 kDa		0
Protein-arginine deiminase type-2 OS=Homo sapiens GN=PADI2 PE=2 SV=1	tr|B4DIU3|B4DIU3_HUMAN	62 kDa		3
Lipopolysaccharide core biosynthesis glycosyltransferase rfa OS=Escherichia coli GN=rfaQ PE=4 SV=1	tr|E2QGY7|E2QGY7_ECOLX	39 kDa	TRUE	0
Phospholipase DDHD2 OS=Homo sapiens GN=DDHD2 PE=2 SV=1	tr|B3KXB5|B3KXB5_HUMAN	38 kDa	TRUE	0
Coatomer subunit gamma-1 (Fragment) OS=Homo sapiens GN=COPG1 PE=4 SV=1	tr|H0Y8X7|H0Y8X7_HUMAN	21 kDa		0
Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3E PE=3 SV=1	tr|E5RGA2|E5RGA2_HUMAN	41 kDa	TRUE	4
UPF0393 inner membrane protein yrbE OS=Escherichia coli GN=yrbE PE=4 SV=1	tr|C3SSC2|C3SSC2_ECOLX	28 kDa		0
DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=2 SV=1	tr|B7Z5C0|B7Z5C0_HUMAN	28 kDa	TRUE	0
DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=2 SV=1	tr|B4DX52|B4DX52_HUMAN	27 kDa		2
HTH-type transcriptional repressor FabR OS=Escherichia coli GN=fabR PE=3 SV=1	tr|E2QIZ8|E2QIZ8_ECOLX	24 kDa		0
Transportin-1 OS=Homo sapiens GN=TNPO1 PE=2 SV=1	tr|B4DSC0|B4DSC0_HUMAN (+1)	15 kDa	TRUE	0
Zinc transporter 3 (Fragment) OS=Homo sapiens GN=SLC30A3 PE=4 SV=1	REVtr|H7BZ83|H7BZ83_HUMAN	33 kDa	TRUE	0
FitR OS=Escherichia coli GN=LF82_500 PE=4 SV=1	REVtr|Q09KH2|Q09KH2_ECOLX	32 kDa		0
Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=4 SV=1	tr|E9PHI6|E9PHI6_HUMAN	43 kDa	TRUE	2
Protein ydgH OS=Escherichia coli GN=ydgH PE=4 SV=1	tr|C3T982|C3T982_ECOLX	34 kDa		0
Fibrocystin-L (Fragment) OS=Homo sapiens GN=PKHD1L1 PE=4 SV=1	REVtr|H0YF65|H0YF65_HUMAN	129 kDa	TRUE	0
Histidine-binding periplasmic protein OS=Escherichia coli GN=hisJ PE=3 SV=1	tr|E2QPH0|E2QPH0_ECOLX	28 kDa	TRUE	2
NADH-quinone oxidoreductase subunit K OS=Escherichia coli GN=nuoK PE=3 SV=1	tr|C3T2F7|C3T2F7_ECOLX	11 kDa		0
"6-phosphofructokinase, muscle type (Fragment) OS=Homo sapiens GN=PFKM PE=4 SV=1"	tr|F8VNX2|F8VNX2_HUMAN (+3)	17 kDa	TRUE	0
Protein mago nashi homolog 2 OS=Homo sapiens GN=MAGOHB PE=4 SV=1	tr|A6NEC0|A6NEC0_HUMAN (+1)	13 kDa		3
Sulfate adenylyltransferase subunit 1 OS=Escherichia coli GN=cysN PE=3 SV=1	tr|E2QQK3|E2QQK3_ECOLX	53 kDa	TRUE	0
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli GN=accA PE=3 SV=1	tr|C3TPF2|C3TPF2_ECOLX	35 kDa		0
Tyrosine-protein kinase Fes/Fps OS=Homo sapiens GN=FES PE=3 SV=1	tr|E7ENM8|E7ENM8_HUMAN	77 kDa	TRUE	2
Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=3 SV=1	tr|B5MCQ5|B5MCQ5_HUMAN	53 kDa	TRUE	5
Penicillin-binding protein 1B OS=Escherichia coli GN=mrcB PE=4 SV=1	tr|E2QF79|E2QF79_ECOLX	94 kDa		0
Nuclease-sensitive element-binding protein 1 (Fragment) OS=Homo sapiens GN=YBX1 PE=4 SV=1	tr|H0Y449|H0Y449_HUMAN	42 kDa	TRUE	0
Endoplasmin (Fragment) OS=Homo sapiens GN=HSP90B1 PE=4 SV=1	tr|H0YIV0|H0YIV0_HUMAN	17 kDa		4
Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4 PE=2 SV=1	tr|B7Z403|B7Z403_HUMAN	32 kDa		5
Inner membrane protein yeiU OS=Escherichia coli GN=yeiU PE=4 SV=1	tr|E2QP40|E2QP40_ECOLX	27 kDa		0
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=4 SV=1	tr|E7EP32|E7EP32_HUMAN	32 kDa	TRUE	0
MltA-interacting protein OS=Escherichia coli GN=yeaF PE=4 SV=1	tr|C3T6U7|C3T6U7_ECOLX	28 kDa		0
Replicative DNA helicase OS=Escherichia coli GN=dnaB PE=4 SV=1	tr|E2QJ79|E2QJ79_ECOLX	52 kDa		0
Fumarase A = fumarate hydratase Class I aerobic isozyme OS=Escherichia coli GN=fumA PE=4 SV=1	tr|E2QMH5|E2QMH5_ECOLX	60 kDa	TRUE	3
Regulator of plasmid mcrB operon OS=Escherichia coli GN=mprA PE=4 SV=1	tr|C3SY57|C3SY57_ECOLX	21 kDa	TRUE	0
NADH-quinone oxidoreductase subunit B OS=Escherichia coli GN=nuoB PE=3 SV=1	tr|C3T2B7|C3T2B7_ECOLX	25 kDa		0
Ras-related protein Ral-B (Fragment) OS=Homo sapiens GN=RALB PE=4 SV=1	tr|C9J6B1|C9J6B1_HUMAN	19 kDa		0
Protein rcsF OS=Escherichia coli GN=rcsF PE=4 SV=1	tr|E2QFC4|E2QFC4_ECOLX	14 kDa		0
DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens GN=POLR1C PE=4 SV=1	tr|E7EQB9|E7EQB9_HUMAN	34 kDa		0
EMILIN-1 (Fragment) OS=Homo sapiens GN=EMILIN1 PE=4 SV=1	tr|H0Y7A0|H0Y7A0_HUMAN	36 kDa		0
2-oxoglutarate dehydrogenase E1component (EC1 2 4 2) OS=Escherichia coli GN=LF82_640 PE=4 SV=1	REVtr|E2QJ82|E2QJ82_ECOLX	102 kDa	TRUE	0
Protein phosphatase 1 regulatory subunit 12A (Fragment) OS=Homo sapiens GN=PPP1R12A PE=4 SV=1	tr|H0YIS3|H0YIS3_HUMAN	27 kDa		3
26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=2 SV=1	tr|B4DT72|B4DT72_HUMAN	41 kDa	TRUE	3
Bridging integrator 2 OS=Homo sapiens GN=BIN2 PE=4 SV=1	tr|F5H0W4|F5H0W4_HUMAN	59 kDa	TRUE	0
Acyl carrier protein OS=Escherichia coli GN=acpP PE=3 SV=1	tr|C3TDX7|C3TDX7_ECOLX	9 kDa		0
Aldehyde dehydrogenase family 16 member A1 OS=Homo sapiens GN=ALDH16A1 PE=4 SV=1	tr|F5H4B6|F5H4B6_HUMAN (+1)	67 kDa		2
Serine/arginine-rich-splicing factor 2 OS=Homo sapiens GN=SFRS2 PE=2 SV=1	tr|B4DN89|B4DN89_HUMAN	24 kDa		0
Nck-associated protein 1-like OS=Homo sapiens GN=NCKAP1L PE=4 SV=1	tr|F8W050|F8W050_HUMAN	52 kDa	TRUE	0
Ras-related protein Rab-18 (Fragment) OS=Homo sapiens GN=RAB18 PE=3 SV=1	tr|H0Y6T8|H0Y6T8_HUMAN	33 kDa		0
Uridine kinase OS=Escherichia coli GN=udk PE=3 SV=1	tr|E2QNT7|E2QNT7_ECOLX	24 kDa		0
Lipopolysaccharide biosynthesis protein wzzE OS=Escherichia coli GN=wzzE PE=4 SV=1	tr|E2QHW1|E2QHW1_ECOLX	39 kDa		0
"HCG2002594, isoform CRA_a OS=Homo sapiens GN=SEPT5 PE=2 SV=1"	tr|B4DJ62|B4DJ62_HUMAN (+1)	37 kDa		2
Abl interactor 1 OS=Homo sapiens GN=ABI1 PE=4 SV=2	tr|A6NFN2|A6NFN2_HUMAN (+1)	55 kDa	TRUE	2
Phosphoribosylformylglycinamidine cyclo-ligase OS=Escherichia coli GN=purM PE=3 SV=1	tr|E2QPW2|E2QPW2_ECOLX	37 kDa		0
Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=USP14 PE=3 SV=2	tr|A6NJA2|A6NJA2_HUMAN (+1)	51 kDa		4
HCG2044799 OS=Homo sapiens GN=hCG_2044799 PE=4 SV=1	tr|H3BQZ7|H3BQZ7_HUMAN	85 kDa		0
Uncharacterized lipoprotein yajG OS=Escherichia coli GN=yajG PE=4 SV=1	tr|E2QGH8|E2QGH8_ECOLX	21 kDa		0
Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens GN=PITPNB PE=2 SV=1	tr|B7Z7Q0|B7Z7Q0_HUMAN	32 kDa	TRUE	3
ATP-dependent helicase dinG OS=Escherichia coli GN=dinG PE=4 SV=1	tr|E2QIG6|E2QIG6_ECOLX	81 kDa		0
Calcineurin isoform CNEX3-10 OS=Homo sapiens GN=PPP3CA PE=2 SV=1	tr|A8W6Z8|A8W6Z8_HUMAN	32 kDa	TRUE	4
Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens GN=IQGAP2 PE=4 SV=1	tr|F5H7S7|F5H7S7_HUMAN	124 kDa	TRUE	0
30S ribosomal protein S6 OS=Escherichia coli GN=rpsF PE=3 SV=1	tr|C3SFQ7|C3SFQ7_ECOLX	15 kDa		0
D-methionine transport system permease protein metI OS=Escherichia coli GN=metI PE=3 SV=1	tr|E2QFC6|E2QFC6_ECOLX	23 kDa		0
UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase OS=Escherichia coli GN=arnB PE=3 SV=1	tr|E2QPB8|E2QPB8_ECOLX	42 kDa	TRUE	0
Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=2	tr|H3BN98|H3BN98_HUMAN	27 kDa		0
30S ribosomal protein S21 OS=Escherichia coli GN=rpsU PE=3 SV=1	tr|C3STZ7|C3STZ7_ECOLX	9 kDa		0
Inner membrane protein yjiY OS=Escherichia coli GN=yjiY PE=4 SV=1	tr|E2QLB2|E2QLB2_ECOLX	77 kDa		0
Protein FAM22F OS=Homo sapiens GN=FAM22F PE=2 SV=2	REVsp|A1L443|FA22F_HUMAN (+1)	81 kDa		0
Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens GN=PPP2CB PE=3 SV=1	tr|E5RFI3|E5RFI3_HUMAN (+3)	14 kDa	TRUE	2
PDZ and LIM domain protein 7 (Fragment) OS=Homo sapiens GN=PDLIM7 PE=4 SV=1	tr|D6RH06|D6RH06_HUMAN	31 kDa		3
Inner membrane protein OS=Escherichia coli GN=ecfG PE=4 SV=1	tr|Q548B4|Q548B4_ECOLX	23 kDa		0
Disulfide bond formation protein B OS=Escherichia coli GN=dsbB PE=3 SV=1	tr|E2QKW1|E2QKW1_ECOLX	20 kDa		0
ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=3 SV=1	tr|F5H423|F5H423_HUMAN	23 kDa	TRUE	0
Annexin OS=Homo sapiens GN=ANXA5 PE=3 SV=1	tr|E7ENQ5|E7ENQ5_HUMAN	31 kDa	TRUE	0
ATP-binding component of high-affinity phosphate-specific transport system OS=Escherichia coli GN=pstB PE=3 SV=1	tr|B7TYI3|B7TYI3_ECOLX	29 kDa		0
Trigger factor OS=Escherichia coli GN=tig PE=3 SV=1	tr|E2QGI0|E2QGI0_ECOLX	48 kDa		0
Coatomer subunit zeta-1 OS=Homo sapiens GN=COPZ1 PE=4 SV=1	tr|F8VVA7|F8VVA7_HUMAN	22 kDa		0
Fatty acid metabolism regulator protein OS=Escherichia coli GN=fadR PE=3 SV=1	tr|C3TD62|C3TD62_ECOLX	27 kDa		0
Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=2 SV=1	tr|B4DUR9|B4DUR9_HUMAN (+1)	32 kDa	TRUE	3
Phosphoribosyl pyrophosphate synthetase 1 OS=Homo sapiens GN=PRPS1 PE=3 SV=1	tr|B1ALA9|B1ALA9_HUMAN (+1)	24 kDa	TRUE	0
Glycerol-3-phosphate transporter OS=Escherichia coli GN=glpT PE=4 SV=1	tr|E2QPA5|E2QPA5_ECOLX	50 kDa		0
Phenylalanine--tRNA ligase beta subunit OS=Escherichia coli GN=phet PE=3 SV=1	tr|E2QMS4|E2QMS4_ECOLX	87 kDa		0
Integrator complex subunit 6 OS=Homo sapiens GN=INTS6 PE=2 SV=1	tr|B4DL13|B4DL13_HUMAN	32 kDa	TRUE	0
SH2 domain-containing protein 3C OS=Homo sapiens GN=SH2D3C PE=4 SV=1	tr|E7EUN5|E7EUN5_HUMAN	86 kDa	TRUE	0
Sigma factor-binding protein Crl OS=Escherichia coli GN=crl PE=3 SV=1	tr|E2QG38|E2QG38_ECOLX	16 kDa		0
GMP reductase OS=Homo sapiens GN=GMPR2 PE=3 SV=1	tr|H0YNJ6|H0YNJ6_HUMAN	47 kDa		3
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (Fragment) OS=Homo sapiens GN=GNB2 PE=4 SV=1	tr|C9JXA5|C9JXA5_HUMAN	28 kDa	TRUE	0
Serine/threonine-protein kinase MST4 OS=Homo sapiens GN=MST4 PE=2 SV=1	tr|B4E0Y9|B4E0Y9_HUMAN	49 kDa	TRUE	2
tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=C22orf28 PE=4 SV=2	tr|E7EQS9|E7EQS9_HUMAN	19 kDa		2
30S ribosomal protein S19 OS=Escherichia coli GN=rpsS PE=3 SV=1	tr|C3SQW2|C3SQW2_ECOLX	10 kDa		0
Vacuolar protein sorting-associated protein 26B OS=Homo sapiens GN=VPS26B PE=4 SV=1	tr|E9PRT4|E9PRT4_HUMAN	38 kDa	TRUE	0
Cell division protein ftsN OS=Escherichia coli GN=ftsN PE=4 SV=1	tr|E2QIW0|E2QIW0_ECOLX	36 kDa		0
Nucleoside-specific channel-forming protein tsx OS=Escherichia coli GN=tsx PE=4 SV=1	tr|E2QGF5|E2QGF5_ECOLX	34 kDa		0
Ras-related protein Rab-7a OS=Homo sapiens GN=RAB7A PE=3 SV=1	tr|C9J8S3|C9J8S3_HUMAN	18 kDa	TRUE	0
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase OS=Escherichia coli GN=pgsA PE=3 SV=1	tr|C3T562|C3T562_ECOLX	21 kDa		0
N utilization substance protein B homolog OS=Escherichia coli GN=nusB PE=3 SV=1	tr|C3TM37|C3TM37_ECOLX	16 kDa		0
Spermidine N(1)-acetyltransferase OS=Escherichia coli GN=speG PE=4 SV=1	tr|E2QME8|E2QME8_ECOLX	22 kDa		0
Lipoprotein OS=Escherichia coli GN=nlpA PE=3 SV=1	tr|Q5I3I2|Q5I3I2_ECOLX	29 kDa		0
"Transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B), isoform CRA_b OS=Homo sapiens GN=TCEB2 PE=4 SV=1"	tr|B8ZZU8|B8ZZU8_HUMAN	13 kDa		0
26S proteasome non-ATPase regulatory subunit 1 (Fragment) OS=Homo sapiens GN=PSMD1 PE=4 SV=1	tr|C9J9M4|C9J9M4_HUMAN	23 kDa		0
Protein RPSAP58 OS=Homo sapiens GN=RPSAP58 PE=3 SV=1	tr|A6NE09|A6NE09_HUMAN (+1)	33 kDa		2
Copine-8 OS=Homo sapiens GN=CPNE8 PE=4 SV=2	REVtr|E7ENV7|E7ENV7_HUMAN	62 kDa		0
Sarcolemmal membrane-associated protein (Fragment) OS=Homo sapiens GN=SLMAP PE=4 SV=1	REVtr|H7BZK0|H7BZK0_HUMAN	50 kDa		2
Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=4 SV=1	tr|F5H223|F5H223_HUMAN (+2)	42 kDa		2
Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=4 SV=1	tr|F5GWE2|F5GWE2_HUMAN	25 kDa	TRUE	3
Phosphate acyltransferase OS=Escherichia coli GN=plsX PE=3 SV=1	tr|E2QKH4|E2QKH4_ECOLX	38 kDa		0
Structural maintenance of chromosomes protein 6 (Fragment) OS=Homo sapiens GN=SMC6 PE=4 SV=1	tr|C9JMN1|C9JMN1_HUMAN	85 kDa	TRUE	2
Uracil phosphoribosyltransferase OS=Escherichia coli GN=upp PE=3 SV=1	tr|E2QPW1|E2QPW1_ECOLX	23 kDa		0
Dihydrolipoyllysine-residue succinyltransferase component OS=Escherichia coli GN=sucB PE=3 SV=1	tr|E2QIA0|E2QIA0_ECOLX	44 kDa		0
Phosphoenolpyruvate-protein phosphotransferase ptsP OS=Escherichia coli GN=ptsP PE=3 SV=1	tr|E2QQU8|E2QQU8_ECOLX	84 kDa		0
Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 PE=4 SV=1	tr|E9PKG1|E9PKG1_HUMAN (+1)	38 kDa	TRUE	4
Catabolite gene activator OS=Escherichia coli GN=crp PE=4 SV=1	tr|C3SQJ7|C3SQJ7_ECOLX	24 kDa		0
T-lymphoma invasion and metastasis-inducing protein 1 OS=Homo sapiens GN=TIAM1 PE=4 SV=1	tr|F5GZ53|F5GZ53_HUMAN	171 kDa	TRUE	0
HTH-type transcriptional regulator zntR OS=Escherichia coli GN=zntR PE=4 SV=1	tr|E2QFE9|E2QFE9_ECOLX	16 kDa		0
Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform (Fragment) OS=Homo sapiens GN=PPP2CB PE=4 SV=1	tr|H0YC23|H0YC23_HUMAN	14 kDa	TRUE	0
Eukaryotic translation initiation factor 3 subunit M (Fragment) OS=Homo sapiens GN=EIF3M PE=4 SV=1	tr|H0YCQ8|H0YCQ8_HUMAN	25 kDa		3
NF-kappa-B inhibitor-interacting Ras-like protein 2 OS=Homo sapiens GN=NKIRAS2 PE=4 SV=1	tr|C9JPP2|C9JPP2_HUMAN (+1)	21 kDa	TRUE	0
Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens GN=ETF1 PE=2 SV=1	tr|B7Z7P8|B7Z7P8_HUMAN	47 kDa		3
Phospholipase DDHD2 (Fragment) OS=Homo sapiens GN=DDHD2 PE=4 SV=1	tr|H0YF30|H0YF30_HUMAN	20 kDa		0
NAD(P) transhydrogenase subunit beta OS=Escherichia coli GN=pntB PE=3 SV=1	tr|C3T992|C3T992_ECOLX	49 kDa	TRUE	0
Protein FRG1 (Fragment) OS=Homo sapiens GN=FRG1 PE=4 SV=1	tr|E9PRR7|E9PRR7_HUMAN	13 kDa		5
Protein kinase C beta type (Fragment) OS=Homo sapiens GN=PRKCB PE=4 SV=1	tr|H3BV73|H3BV73_HUMAN	15 kDa		4
Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens GN=PPP1CB PE=3 SV=1	tr|E7ETD8|E7ETD8_HUMAN	20 kDa	TRUE	0
Zinc finger protein 33A OS=Homo sapiens GN=ZNF33A PE=4 SV=1	tr|F6TH33|F6TH33_HUMAN	95 kDa		0
Inosine-5'-monophosphate dehydrogenase 2 (Fragment) OS=Homo sapiens GN=IMPDH2 PE=3 SV=1	tr|H0Y4R1|H0Y4R1_HUMAN	51 kDa		2
Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=4 SV=1	tr|F5H4D6|F5H4D6_HUMAN	31 kDa		0
Protein LSM14 homolog A OS=Homo sapiens GN=LSM14A PE=2 SV=1	tr|B4DTG6|B4DTG6_HUMAN	46 kDa		3
WD repeat-containing protein 86 OS=Homo sapiens GN=WDR86 PE=4 SV=1	REVtr|F8WD10|F8WD10_HUMAN	18 kDa		0
CAP-Gly domain-containing linker protein 1 (Fragment) OS=Homo sapiens GN=CLIP1 PE=4 SV=1	tr|F5H6A0|F5H6A0_HUMAN	90 kDa	TRUE	0
Glutathione synthetase OS=Homo sapiens GN=GSS PE=2 SV=1	tr|B6F210|B6F210_HUMAN	40 kDa		3
Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=4 SV=1	tr|F8WDK9|F8WDK9_HUMAN	11 kDa		2
Protein tyrosine phosphatase type IVA 2 OS=Homo sapiens GN=PTP4A2 PE=4 SV=1	tr|E9PJC0|E9PJC0_HUMAN	8 kDa		0
Inositol-3-phosphate synthase 1 OS=Homo sapiens GN=ISYNA1 PE=4 SV=1	tr|G5E9U0|G5E9U0_HUMAN	55 kDa		3
Enhances synthesis of sigma32 in mutant OS=Escherichia coli GN=suhB PE=4 SV=1	tr|C3SZM7|C3SZM7_ECOLX	29 kDa		0
Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=3 SV=1	tr|G8JLB2|G8JLB2_HUMAN	72 kDa		2
Neuropathy target esterase OS=Homo sapiens GN=PNPLA6 PE=4 SV=1	REVtr|F5H5K9|F5H5K9_HUMAN	143 kDa		0
Uncharacterized protein ycbB OS=Escherichia coli GN=ycbB PE=4 SV=1	tr|E2QJD6|E2QJD6_ECOLX	68 kDa		0
Heterogeneous nuclear ribonucleoprotein Q (Fragment) OS=Homo sapiens GN=SYNCRIP PE=4 SV=1	tr|F6UXX1|F6UXX1_HUMAN	20 kDa	TRUE	0
Protein BUD31 homolog OS=Homo sapiens GN=BUD31 PE=4 SV=1	tr|C9JNV2|C9JNV2_HUMAN	14 kDa		0
Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=2 SV=1	tr|B4DX49|B4DX49_HUMAN	66 kDa		2
DNA-invertase from lambdoid prophage Rac OS=Escherichia coli GN=pinR PE=4 SV=1	tr|E2QM93|E2QM93_ECOLX	22 kDa		0
Flagellar L-ring protein OS=Escherichia coli GN=flgH PE=3 SV=1	tr|C3TE53|C3TE53_ECOLX	25 kDa		0
"Protein kinase, cAMP-dependent, catalytic, beta OS=Homo sapiens GN=PRKACB PE=2 SV=1"	tr|B1APG4|B1APG4_HUMAN (+1)	37 kDa		3
Signal recognition particle 72 kDa protein OS=Homo sapiens GN=SRP72 PE=4 SV=1	tr|G5E9Z8|G5E9Z8_HUMAN	68 kDa		0
26S protease regulatory subunit 7 (Fragment) OS=Homo sapiens GN=PSMC2 PE=4 SV=1	tr|C9JLS9|C9JLS9_HUMAN	15 kDa		3
"Response regulator (Sensor, EnvZ) affecting transcription of ompC and ompF OS=Escherichia coli GN=ompR PE=4 SV=1"	tr|C3SQ27|C3SQ27_ECOLX	27 kDa		0
Uncharacterized HTH-type transcriptional regulator OS=Escherichia coli GN=yafC PE=4 SV=1	tr|E2QFD0|E2QFD0_ECOLX	34 kDa		0
Aerobic respiration control protein arcA OS=Escherichia coli GN=arcA PE=4 SV=1	tr|C3SDX7|C3SDX7_ECOLX	27 kDa		0
Adenosine deaminase OS=Escherichia coli GN=add PE=3 SV=1	tr|E2QMI6|E2QMI6_ECOLX	36 kDa		0
"40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=4 SV=1"	tr|A6NH36|A6NH36_HUMAN	14 kDa	TRUE	0
30S ribosomal protein S17 OS=Escherichia coli GN=rpsQ PE=3 SV=1	tr|C3SQY7|C3SQY7_ECOLX	10 kDa		0
T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=3 SV=1	tr|E7ERF2|E7ERF2_HUMAN	47 kDa	TRUE	12
ATP synthase C chain OS=Escherichia coli GN=atpE PE=3 SV=1	tr|C3SL82|C3SL82_ECOLX	8 kDa	TRUE	0
N-acetyl-D-glucosamine kinase OS=Homo sapiens GN=NAGK PE=4 SV=3	tr|C9JEV6|C9JEV6_HUMAN	32 kDa		2
F-box only protein 3 OS=Homo sapiens GN=FBXO3 PE=4 SV=1	tr|G3V1E0|G3V1E0_HUMAN	41 kDa		2
Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Homo sapiens GN=PBXIP1 PE=4 SV=1	tr|F5H2F6|F5H2F6_HUMAN	65 kDa		0
26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens GN=PSMD7 PE=2 SV=1	tr|B4DXI8|B4DXI8_HUMAN	28 kDa	TRUE	2
Thiamine biosynthesis lipoprotein apbE OS=Escherichia coli GN=apbE PE=4 SV=1	tr|E2QP81|E2QP81_ECOLX	39 kDa		0
Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1	tr|H0YHG0|H0YHG0_HUMAN	59 kDa		0
Exu regulon transcriptional regulator OS=Escherichia coli GN=exuR PE=4 SV=1	tr|E2QED9|E2QED9_ECOLX	30 kDa		0
UPF0028 protein ychK OS=Escherichia coli GN=ychK PE=4 SV=1	tr|C3TCP7|C3TCP7_ECOLX	34 kDa		0
T1-TrpRS (Fragment) OS=Homo sapiens GN=WARS PE=4 SV=1	tr|H0YJP3|H0YJP3_HUMAN	20 kDa		2
60S ribosomal protein L30 (Fragment) OS=Homo sapiens GN=RPL30 PE=3 SV=1	tr|E5RI99|E5RI99_HUMAN	13 kDa		0
Core-binding factor subunit beta (Fragment) OS=Homo sapiens GN=CBFB PE=4 SV=1	tr|H3BSC0|H3BSC0_HUMAN	11 kDa		0
C-terminal-binding protein 1 (Fragment) OS=Homo sapiens GN=CTBP1 PE=3 SV=1	tr|D6RAX2|D6RAX2_HUMAN	20 kDa	TRUE	2
"Src family associated phosphoprotein 2, isoform CRA_c OS=Homo sapiens GN=SCAP2 PE=2 SV=1"	tr|B7Z5R3|B7Z5R3_HUMAN	22 kDa		0
26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=4 SV=1	tr|C9IZE4|C9IZE4_HUMAN	52 kDa		2
Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens GN=GNPDA1 PE=3 SV=1	tr|D6R9P4|D6R9P4_HUMAN (+1)	31 kDa		3
S-adenosylmethionine synthase OS=Homo sapiens GN=MAT2A PE=2 SV=1	tr|B4DN45|B4DN45_HUMAN	33 kDa		3
Uncharacterized ABC transporter ATP-binding protein OS=Escherichia coli GN=yadG PE=3 SV=1	tr|E2QF57|E2QF57_ECOLX	35 kDa		0
60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=3 SV=1	tr|A8MUS3|A8MUS3_HUMAN (+1)	22 kDa		0
Protein TFG (Fragment) OS=Homo sapiens GN=TFG PE=4 SV=1	tr|C9JJP5|C9JJP5_HUMAN (+1)	20 kDa		2
Caspase-3 subunit p12 OS=Homo sapiens GN=CASP3 PE=4 SV=2	tr|A8MVM1|A8MVM1_HUMAN	21 kDa		3
Eukaryotic translation initiation factor 2 subunit 1 (Fragment) OS=Homo sapiens GN=EIF2S1 PE=4 SV=1	tr|G3V4T5|G3V4T5_HUMAN (+1)	31 kDa		3
Adenylyl-sulfate kinase OS=Escherichia coli GN=cysC PE=3 SV=1	tr|E2QQK2|E2QQK2_ECOLX	22 kDa		0
