Identified Proteins (998)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	RasC-GST-PO
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=DDB_0169270 PE=4 SV=1	tr|Q8MMS1|Q8MMS1_DICDI	73 kDa		4
Protein transport protein SEC31 OS=Dictyostelium discoideum GN=sec31 PE=3 SV=1	sp|Q55CT5|SEC31_DICDI	150 kDa		4
Probable ornithine aminotransferase OS=Dictyostelium discoideum GN=oatA PE=3 SV=1	sp|Q54JP5|OAT_DICDI	46 kDa		4
Transportin OS=Dictyostelium discoideum GN=tnpo PE=3 SV=1	sp|Q55CQ7|TNPO_DICDI	105 kDa		4
26S proteasome non-ATPase regulatory subunit 7 OS=Dictyostelium discoideum GN=psmD7 PE=3 SV=1	sp|Q54WI8|PSD7_DICDI	36 kDa		4
Ankyrin repeat-containing protein OS=Dictyostelium discoideum GN=DDB_G0289141 PE=4 SV=2	tr|Q54HY5|Q54HY5_DICDI	197 kDa		4
Ribose-phosphate pyrophosphokinase A OS=Dictyostelium discoideum GN=prsA PE=1 SV=1	sp|Q54PA9|PRPSA_DICDI	34 kDa		3
GTP-binding protein lepA.	sp|P60785|LEPA_ECOLI	67 kDa		3
SH3 domain-containing protein OS=Dictyostelium discoideum GN=docD PE=4 SV=1	tr|Q54PB7|Q54PB7_DICDI	218 kDa	TRUE	3
Fructose-bisphosphate aldolase class I (	sp|P0A991|ALF1_ECOLI	38 kDa	TRUE	3
Protein FAM49 homolog OS=Dictyostelium discoideum GN=fam49 PE=3 SV=2	sp|Q8T2H0|FAM49_DICDI	36 kDa		3
Phenylalanyl-tRNA synthetase alpha chain	sp|P08312|SYFA_ECOLI	37 kDa		3
Endoplasmin homolog OS=Dictyostelium discoideum GN=grp94 PE=2 SV=2	sp|Q9NKX1|ENPL_DICDI	87 kDa	TRUE	9
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202984 PE=4 SV=1	tr|Q556H9|Q556H9_DICDI	62 kDa	TRUE	10
Calmodulin-like protein OS=Dictyostelium discoideum GN=calB PE=2 SV=1	sp|O00897|CALML_DICDI	17 kDa		4
"Probable ubiquinone biosynthesis protein coq9, mitochondrial OS=Dictyostelium discoideum GN=coq9 PE=3 SV=2"	sp|Q86HS0|COQ9_DICDI	35 kDa		4
Alkyl hydroperoxide reductase subunit F	sp|P35340|AHPF_ECOLI	56 kDa		3
Vacuolin-B OS=Dictyostelium discoideum GN=vacB PE=1 SV=1	sp|Q54WZ2|VACB_DICDI	66 kDa	TRUE	4
Probable adenosine deaminase OS=Dictyostelium discoideum GN=ada PE=3 SV=1	sp|Q54KF3|ADA_DICDI	88 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206334 PE=4 SV=1	tr|Q54W55|Q54W55_DICDI	46 kDa		3
Lipoprotein yfgL precursor.	sp|P77774|YFGL_ECOLI	42 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187592 PE=4 SV=1	tr|Q54JZ3|Q54JZ3_DICDI	106 kDa		2
Putative uncharacterized protein DDB_G0288137 OS=Dictyostelium discoideum GN=DDB_G0288137 PE=4 SV=1	sp|Q54JD2|Y8137_DICDI	36 kDa	TRUE	3
Developmentally-regulated GTP-binding protein 1 homolog OS=Dictyostelium discoideum GN=drg1 PE=3 SV=1	sp|Q54HP3|DRG1_DICDI	41 kDa		3
MMS19 nucleotide excision repair protein homolog OS=Dictyostelium discoideum GN=mms19 PE=3 SV=2	sp|Q54J88|MMS19_DICDI	127 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187425 PE=4 SV=1	tr|Q54KI1|Q54KI1_DICDI	82 kDa		2
N-acetyl-D-glucosamine kinase OS=Dictyostelium discoideum GN=nagk PE=3 SV=1	sp|Q54PM7|NAGK_DICDI	35 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219564 PE=1 SV=1	tr|Q54G31|Q54G31_DICDI	80 kDa	TRUE	4
Ras-related protein Rab-18 OS=Dictyostelium discoideum GN=rab18 PE=3 SV=1	sp|Q54GY8|RAB18_DICDI	23 kDa		2
Protein SCAI homolog OS=Dictyostelium discoideum GN=scai PE=3 SV=1	sp|Q54YY1|SCAI_DICDI	88 kDa		2
"Probable threonyl-tRNA synthetase 1, cytoplasmic OS=Dictyostelium discoideum GN=thrS1 PE=3 SV=1"	sp|Q54J66|SYTC1_DICDI	81 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168344 PE=4 SV=2	tr|Q8T2R4|Q8T2R4_DICDI	17 kDa		3
Multiphosphoryl transfer protein (MTP) (	sp|P69811|PTFAH_ECOLI	40 kDa		2
40S ribosomal protein S19 OS=Dictyostelium discoideum GN=rps19 PE=3 SV=1	sp|Q54X51|RS19_DICDI	17 kDa		2
UDP-N-acetylglucosamine 1-carboxyvinyltr	sp|P0A749|MURA_ECOLI	45 kDa		3
Putative acetyltransferase DDB_G0275913 OS=Dictyostelium discoideum GN=DDB_G0275913 PE=3 SV=1	sp|Q552S7|Y5913_DICDI	21 kDa		3
Proteasome subunit beta type-7 OS=Dictyostelium discoideum GN=psmB7 PE=3 SV=1	sp|Q54QR2|PSB7_DICDI	29 kDa		2
Cytidylate kinase OS=Dictyostelium discoideum GN=pyrK PE=1 SV=2	sp|P20425|KCY_DICDI	22 kDa		3
LIM domain-containing protein C OS=Dictyostelium discoideum GN=limC PE=2 SV=1	sp|Q9BIW5|LIMC_DICDI	21 kDa		3
Maleylacetoacetate isomerase OS=Dictyostelium discoideum GN=mai PE=3 SV=1	sp|Q54YN2|MAAI_DICDI	25 kDa		3
"ATP synthase subunit gamma, mitochondrial OS=Dictyostelium discoideum GN=atp5C1 PE=1 SV=1"	sp|Q54DF1|ATPG_DICDI	34 kDa		3
Proteasome subunit alpha type-5 OS=Dictyostelium discoideum GN=psmA5 PE=3 SV=1	sp|Q55G04|PSA5_DICDI	27 kDa		3
Hypothetical lipoprotein yajG precursor.	sp|P0ADA5|YAJG_ECOLI	21 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0287403 PE=4 SV=1	tr|Q54KD3|Q54KD3_DICDI	17 kDa		3
Small GTPase OS=Dictyostelium discoideum GN=spg1 PE=4 SV=1	tr|Q54EY3|Q54EY3_DICDI	23 kDa		3
NADH dehydrogenase (EC 1.6.99.3).	sp|P00393|DHNA_ECOLI	47 kDa		3
Glutamate decarboxylase B OS=Dictyostelium discoideum GN=gadB PE=2 SV=1	sp|Q54IJ3|GADB_DICDI	53 kDa		3
S-adenosylmethionine synthetase (EC 2.5.	sp|P0A817|METK_ECOLI	42 kDa		3
Probable T4-type lysozyme 2 OS=Dictyostelium discoideum GN=DDB_G0274291 PE=2 SV=1	sp|Q86AA1|LYST2_DICDI	19 kDa		3
Probable short/branched chain specific acyl-CoA dehydrogenase OS=Dictyostelium discoideum GN=acadsb PE=3 SV=1	sp|Q54RR5|ACDSB_DICDI	45 kDa		3
Signal recognition particle subunit SRP68 OS=Dictyostelium discoideum GN=srp68 PE=3 SV=1	sp|Q1ZXE8|SRP68_DICDI	71 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204740 PE=4 SV=1	tr|Q54UV0|Q54UV0_DICDI	147 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218284 PE=4 SV=1	tr|Q54UC5|Q54UC5_DICDI	22 kDa		3
Type-1 glutamine synthetase 2 OS=Dictyostelium discoideum GN=glnA2 PE=3 SV=1	sp|P0C7B6|GLNA2_DICDI (+1)	59 kDa	TRUE	4
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0186029 PE=3 SV=1	tr|Q54PL1|Q54PL1_DICDI	30 kDa		2
Cysteine proteinase 7 OS=Dictyostelium discoideum GN=cprG PE=1 SV=1	sp|Q94504|CYSP7_DICDI	47 kDa		2
Guanine nucleotide-binding protein alpha-4 subunit OS=Dictyostelium discoideum GN=gpaD PE=1 SV=1	sp|P34042|GPA4_DICDI	40 kDa		3
Guanine nucleotide-binding protein alpha-1 subunit OS=Dictyostelium discoideum GN=gpaA PE=2 SV=1	sp|P16894|GPA1_DICDI	40 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168034 PE=4 SV=1	tr|Q556Q8|Q556Q8_DICDI	91 kDa		2
ATP-dependent RNA helicase ddx19 OS=Dictyostelium discoideum GN=helC PE=2 SV=1	sp|Q54TF8|DDX19_DICDI	52 kDa		2
Formate-dihydrofolate ligase OS=Dictyostelium discoideum GN=fthS PE=3 SV=1	tr|Q54G53|Q54G53_DICDI	69 kDa		2
Probable cytidine deaminase OS=Dictyostelium discoideum GN=cda PE=3 SV=1	sp|Q54I82|CDD_DICDI	16 kDa		3
Ribonuclease R (EC 3.1.-.-) (RNase R) (P	sp|P21499|RNR_ECOLI	92 kDa		2
COP9 signalosome complex subunit 1 OS=Dictyostelium discoideum GN=csn1 PE=1 SV=1	sp|Q54QX3|CSN1_DICDI	53 kDa		3
Activating signal cointegrator 1 complex subunit 3-like OS=Dictyostelium discoideum GN=ascc3l PE=3 SV=1	sp|Q55CI8|HELCL_DICDI	256 kDa	TRUE	2
Probable tonB-dependent receptor ybiL pr	sp|P75780|YBIL_ECOLI	82 kDa		2
Succinate dehydrogenase hydrophobic memb	sp|P0AC44|DHSD_ECOLI	13 kDa		2
Acyl-CoA oxidase OS=Dictyostelium discoideum GN=acoA PE=4 SV=1	tr|Q54RB0|Q54RB0_DICDI	78 kDa		2
Ribose-phosphate pyrophosphokinase C OS=Dictyostelium discoideum GN=prsC PE=3 SV=1	sp|Q54QU9|PRPSC_DICDI	35 kDa		2
Triosephosphate isomerase OS=Dictyostelium discoideum GN=tpiA PE=3 SV=1	sp|Q869R8|TPIS_DICDI	28 kDa		3
AAA ATPase domain-containing protein OS=Dictyostelium discoideum GN=DD8-14 PE=2 SV=1	tr|Q58A41|Q58A41_DICDI	75 kDa		3
Protein phosphatase 2C-related protein OS=Dictyostelium discoideum GN=DDB_0185918 PE=3 SV=1	tr|Q54PX6|Q54PX6_DICDI	44 kDa		3
Coatomer subunit epsilon OS=Dictyostelium discoideum GN=cope PE=3 SV=1	sp|Q55FU2|COPE_DICDI	34 kDa		3
Mitochondrial translation elongation factor G OS=Dictyostelium discoideum GN=gfm2 PE=4 SV=1	tr|Q55G92|Q55G92_DICDI	85 kDa	TRUE	3
"ATP synthase subunit O, mitochondrial OS=Dictyostelium discoideum GN=atp5O PE=3 SV=1"	sp|Q54RA8|ATPO_DICDI	33 kDa		3
Mitochondrial DNA repair protein recA homolog OS=Dictyostelium discoideum GN=recA PE=3 SV=1	sp|Q75JL2|RECAM_DICDI	50 kDa	TRUE	3
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0167945 PE=3 SV=1	tr|Q556G1|Q556G1_DICDI	37 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185622 PE=4 SV=1	tr|Q54QR4|Q54QR4_DICDI	34 kDa		3
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0217341 PE=4 SV=1	tr|Q556S5|Q556S5_DICDI	34 kDa		3
NAD-dependent epimerase/dehydratase family protein OS=Dictyostelium discoideum GN=DDB_G0279965 PE=4 SV=2	tr|Q54W18|Q54W18_DICDI	44 kDa		3
Enoyl-[acyl-carrier-protein] reductase [	sp|P0AEK4|FABI_ECOLI	28 kDa		3
Decaprenyl-diphosphate synthase OS=Dictyostelium discoideum GN=coq1 PE=3 SV=1	sp|Q54VJ9|DPS1_DICDI	51 kDa		3
Mitochondrial substrate carrier family protein Z OS=Dictyostelium discoideum GN=mcfZ PE=2 SV=1	sp|Q54B67|MCFZ_DICDI	33 kDa		3
Hypothetical UPF0070 protein yfgM.	sp|P76576|YFGM_ECOLI	22 kDa		2
Trafficking protein particle complex subunit 3 OS=Dictyostelium discoideum GN=trappc3 PE=3 SV=2	sp|Q86K94|TPPC3_DICDI	21 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186709 PE=4 SV=1	tr|Q54MM9|Q54MM9_DICDI	27 kDa		2
Uracil phosphoribosyltransferase OS=Dictyostelium discoideum GN=uprt PE=3 SV=1	sp|Q55GQ6|UPP_DICDI	24 kDa	TRUE	2
Catalase HPII (EC 1.11.1.6) (Hydroxypero	sp|P21179|CATE_ECOLI	84 kDa		3
Recoverin family protein DDB_G0272130 OS=Dictyostelium discoideum GN=DDB_G0272130 PE=1 SV=1	sp|Q86JE1|Y2130_DICDI	23 kDa		2
Hypothetical protein yiaF.	sp|P0ADK0|YIAF_ECOLI	30 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169405 PE=4 SV=2	tr|Q86AD3|Q86AD3_DICDI	64 kDa		2
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0191760 PE=4 SV=1	tr|Q54CB5|Q54CB5_DICDI	274 kDa		2
UDP-N-acetylmuramate--L-alanine ligase (	sp|P17952|MURC_ECOLI	54 kDa	TRUE	2
Proteasome subunit alpha type-7 OS=Dictyostelium discoideum GN=psmA7 PE=3 SV=1	sp|P34120|PSA7_DICDI	28 kDa		3
Eukaryotic translation initiation factor 3 subunit E OS=Dictyostelium discoideum GN=eif3e PE=3 SV=1	sp|Q54CC5|EIF3E_DICDI	60 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191803 PE=4 SV=1	tr|Q54C69|Q54C69_DICDI	25 kDa		3
Signal peptidase I (EC 3.4.21.89) (SPase	sp|P00803|LEP_ECOLI	36 kDa		2
"Cytochrome c1, heme protein, mitochondrial OS=Dictyostelium discoideum GN=cyc1 PE=3 SV=1"	sp|Q54D07|CY1_DICDI	31 kDa		2
Delta-aminolevulinic acid dehydratase OS=Dictyostelium discoideum GN=alad PE=3 SV=2	sp|Q55E06|HEM2_DICDI	37 kDa		3
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0168319 PE=1 SV=1	tr|Q86JB5|Q86JB5_DICDI	34 kDa		2
Myosin light chain kinase A OS=Dictyostelium discoideum GN=mlkA PE=1 SV=2	sp|P25323|MYLKA_DICDI	33 kDa		2
NADH-ubiquinone oxidoreductase 75 kDa subunit OS=Dictyostelium discoideum GN=nad11 PE=3 SV=1	sp|Q34312|NDUS1_DICDI	80 kDa		2
Histidyl-tRNA synthetase (EC 6.1.1.21) (	sp|P60906|SYH_ECOLI	47 kDa		2
"Selenide, water dikinase (EC 2.7.9.3) (S"	sp|P16456|SELD_ECOLI	37 kDa		2
Thioredoxin reductase (EC 1.8.1.9) (TRXR	sp|P0A9P4|TRXB_ECOLI	34 kDa		2
"Fructose-1,6-bisphosphatase OS=Dictyostelium discoideum GN=fbp PE=3 SV=1"	sp|Q6RYT0|F16P_DICDI	38 kDa		2
Glutamine synthetase (EC 6.3.1.2) (Gluta	sp|P0A9C5|GLNA_ECOLI	52 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167593 PE=4 SV=1	tr|Q8T294|Q8T294_DICDI	65 kDa		2
"Fructose-1,6-bisphosphatase class II glp"	sp|P0A9C9|GLPX_ECOLI	36 kDa		2
Bifunctional polymyxin resistance arnA p	sp|P77398|ARNA_ECOLI	74 kDa		2
Uracil phosphoribosyltransferase (EC 2.4	sp|P0A8F0|UPP_ECOLI	23 kDa		2
Nucleoside permease nupC (Nucleoside-tra	sp|P0AFF2|NUPC_ECOLI	43 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185931 PE=4 SV=1	tr|Q54PW3|Q54PW3_DICDI	106 kDa		2
Rare lipoprotein B precursor.	sp|P0ADC1|RLPB_ECOLI	21 kDa		2
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0288521 PE=3 SV=1	tr|Q54IU0|Q54IU0_DICDI	55 kDa		3
Glucans biosynthesis protein G precursor	sp|P33136|OPGG_ECOLI	58 kDa		2
"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=ivdA PE=3 SV=1"	tr|Q54W88|Q54W88_DICDI	45 kDa		3
Copine-A OS=Dictyostelium discoideum GN=cpnA PE=2 SV=1	sp|Q7YXU4|CPNA_DICDI	66 kDa		2
Actin-related protein 2/3 complex subunit 4 OS=Dictyostelium discoideum GN=arcD PE=1 SV=1	sp|O96625|ARPC4_DICDI	20 kDa		2
Calmodulin OS=Dictyostelium discoideum GN=calA PE=1 SV=3	sp|P02599|CALM_DICDI	17 kDa	TRUE	3
"Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial OS=Dictyostelium discoideum GN=coq3 PE=3 SV=1"	sp|Q54XD0|COQ3_DICDI	37 kDa		2
Glutamine-dependent NAD(+) synthetase OS=Dictyostelium discoideum GN=nadsyn1 PE=3 SV=1	sp|Q54ML1|NADE_DICDI	81 kDa		2
Vegetative-specific protein H5 OS=Dictyostelium discoideum GN=cinB PE=2 SV=2	sp|P14326|VSH5_DICDI (+2)	39 kDa		3
Ribonucleoside-diphosphate reductase small subunit OS=Dictyostelium discoideum GN=rnrB-1 PE=2 SV=2	sp|P42521|RIR2_DICDI	39 kDa		2
"Probable glycine cleavage system H protein 1, mitochondrial OS=Dictyostelium discoideum GN=gcvH1 PE=3 SV=1"	sp|Q54JV8|GCSH1_DICDI	17 kDa		2
Transmembrane emp24 domain-containing protein B OS=Dictyostelium discoideum GN=empB PE=3 SV=1	sp|Q54BN0|TMEDB_DICDI	24 kDa		2
30S ribosomal protein S13.	sp|P0A7S9|RS13_ECOLI	13 kDa		3
General transcriptional corepressor tupA OS=Dictyostelium discoideum GN=tupA PE=2 SV=1	sp|O76734|TUP1_DICDI	65 kDa		2
Actin-related protein 2/3 complex subunit 5 OS=Dictyostelium discoideum GN=arcE PE=1 SV=1	sp|O96626|ARPC5_DICDI	15 kDa		2
NADP-specific glutamate dehydrogenase (E	sp|P00370|DHE4_ECOLI	49 kDa		2
UTP--glucose-1-phosphate uridylyltransferase 1 OS=Dictyostelium discoideum GN=uppA PE=2 SV=2	sp|P08800|UGPA1_DICDI	58 kDa		2
Tryptophan synthase beta chain (EC 4.2.1	sp|P0A879|TRPB_ECOLI	43 kDa		2
Probable aminotransferase yfbQ (EC 2.6.1	sp|P0A959|YFBQ_ECOLI	46 kDa		2
Putative cytochrome d ubiquinol oxidase	sp|P0ADW3|YHCB_ECOLI	15 kDa		2
Vegetative-specific protein V4 OS=Dictyostelium discoideum GN=lmcB PE=2 SV=2	sp|P14330|VSV4_DICDI (+1)	18 kDa		2
PTS system trehalose-specific EIIBC comp	sp|P36672|PTTBC_ECOLI	51 kDa		4
FKBP-type peptidyl-prolyl cis-trans isom	sp|P45523|FKBA_ECOLI	29 kDa		2
O-methyltransferase 9 OS=Dictyostelium discoideum GN=omt9 PE=3 SV=1	sp|Q54GZ0|OMT9_DICDI	41 kDa		2
Oxysterol-binding protein 8 OS=Dictyostelium discoideum GN=osbH PE=1 SV=1	sp|Q54QP6|OSB8_DICDI	46 kDa		2
Exportin-4 OS=Dictyostelium discoideum GN=xpo4 PE=3 SV=1	sp|Q54UP5|XPO4_DICDI	130 kDa		2
26S proteasome non-ATPase regulatory subunit 4 OS=Dictyostelium discoideum GN=psmD4 PE=2 SV=1	sp|Q553E0|PSMD4_DICDI	38 kDa		2
Nicotinate phosphoribosyltransferase OS=Dictyostelium discoideum GN=naprt PE=2 SV=1	sp|Q55G10|PNCB_DICDI	66 kDa		2
Probable O-sialoglycoprotein endopeptidase OS=Dictyostelium discoideum GN=osgep PE=3 SV=1	sp|Q55GU1|OSGEP_DICDI	37 kDa		2
V-type proton ATPase subunit H OS=Dictyostelium discoideum GN=vatH PE=1 SV=1	sp|Q8MML6|VATH_DICDI	51 kDa		2
Mitochondrial genome maintenance protein mgm101 homolog OS=Dictyostelium discoideum GN=mgm101 PE=3 SV=1	sp|Q8MYF0|MG101_DICDI	43 kDa		2
Putative uncharacterized protein rsc43 OS=Dictyostelium discoideum GN=rsc43 PE=2 SV=1	tr|O15692|O15692_DICDI	28 kDa	TRUE	2
Prolyl-tRNA synthetase OS=Dictyostelium discoideum GN=proS PE=3 SV=1	tr|Q54Q07|Q54Q07_DICDI	62 kDa		2
Homeobox protein Wariai OS=Dictyostelium discoideum GN=warA PE=2 SV=1	rsp|Q54F46|WARA_DICDI	?		2
Uncharacterized protein DDB_G0292160 OS=Dictyostelium discoideum GN=DDB_G0292160 PE=4 SV=1	sp|Q1ZXA8|Y1625_DICDI	19 kDa		2
"Adenylate kinase 2, mitochondrial OS=Dictyostelium discoideum GN=adkA PE=3 SV=1"	sp|Q54QJ9|KAD2_DICDI	31 kDa		2
SsDNA-binding transcriptional regulator OS=Dictyostelium discoideum GN=DDB_G0275335 PE=4 SV=1	tr|Q553Q8|Q553Q8_DICDI	16 kDa		2
FK506-binding protein 4 OS=Dictyostelium discoideum GN=fkbp4 PE=1 SV=1	sp|Q54NB6|FKBP4_DICDI	40 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186283 PE=4 SV=1	tr|Q54NV9|Q54NV9_DICDI	46 kDa		2
ATP-dependent RNA helicase hrpA (EC 3.6.	sp|P43329|HRPA_ECOLI	149 kDa		2
Tryptophanyl-tRNA synthetase (EC 6.1.1.2	sp|P00954|SYW_ECOLI	37 kDa		2
60S ribosomal protein L32 OS=Dictyostelium discoideum GN=rpl32 PE=3 SV=1	sp|Q55AB5|RL32_DICDI	15 kDa		2
"Probable 39S ribosomal protein L17, mitochondrial OS=Dictyostelium discoideum GN=mrpl17 PE=3 SV=1"	sp|Q54TY5|RM17_DICDI	21 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188673 PE=4 SV=1	tr|Q54GQ7|Q54GQ7_DICDI	46 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168033 PE=4 SV=1	tr|Q556Q7|Q556Q7_DICDI	68 kDa		2
GMP synthase [glutamine-hydrolyzing] OS=Dictyostelium discoideum GN=guaA PE=1 SV=2	sp|P32073|GUAA_DICDI	80 kDa	TRUE	2
SNO glutamine amidotransferase family protein OS=Dictyostelium discoideum GN=DDB_0215963 PE=1 SV=1	tr|Q54J48|Q54J48_DICDI	28 kDa		2
Flavoprotein wrbA (Trp repressor binding	sp|P0A8G6|WRBA_ECOLI	21 kDa		2
UPF0082 protein yebC.	sp|P0A8A0|YEBC_ECOLI	26 kDa		2
"Ubiquinone biosynthesis methyltransferase coq5, mitochondrial OS=Dictyostelium discoideum GN=coq5 PE=3 SV=1"	sp|Q54VN2|COQ5_DICDI	35 kDa		2
"PTS-dependent dihydroxyacetone kinase, p"	sp|P37349|DHAM_ECOLI	52 kDa		2
Inositol-1-monophosphatase (EC 3.1.3.25)	sp|P0ADG4|SUHB_ECOLI	29 kDa		2
Rho GTPase-activating protein gacX OS=Dictyostelium discoideum GN=gacX PE=3 SV=1	sp|Q54J98|GACX_DICDI	63 kDa		2
Serine/threonine-protein phosphatase 4 catalytic subunit OS=Dictyostelium discoideum GN=ppp4c PE=1 SV=1	sp|Q9Y0B7|PP4C_DICDI	35 kDa		2
Protein ygfZ.	sp|P0ADE8|YGFZ_ECOLI	36 kDa		2
Cysteine desulfurase (EC 2.8.1.7) (ThiI	sp|P0A6B7|ISCS_ECOLI	45 kDa	TRUE	2
Probable urocanate hydratase OS=Dictyostelium discoideum GN=uroc1 PE=3 SV=2	sp|Q86AX3|HUTU_DICDI	75 kDa		2
Malate synthase OS=Dictyostelium discoideum GN=masA PE=2 SV=2	sp|Q8T2K9|MASY_DICDI	62 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168417 PE=4 SV=1	tr|Q86JG3|Q86JG3_DICDI	86 kDa		2
DENN domain-containing protein OS=Dictyostelium discoideum GN=DDB_0202195 PE=4 SV=1	tr|Q55FT6|Q55FT6_DICDI	97 kDa		2
"Prohibitin-1, mitochondrial OS=Dictyostelium discoideum GN=phbA PE=3 SV=1"	sp|Q54GI9|PHB1_DICDI	30 kDa		2
Probable lanosterol 14-alpha demethylase OS=Dictyostelium discoideum GN=cyp51 PE=3 SV=1	sp|Q1ZXH9|CP51_DICDI	53 kDa		2
GMP synthase [glutamine-hydrolyzing] (EC	sp|P04079|GUAA_ECOLI	59 kDa		2
Hypothetical ABC transporter ATP-binding	sp|P63389|YHES_ECOLI	72 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0278083 PE=4 SV=2	tr|Q54YU1|Q54YU1_DICDI	82 kDa		2
COMM domain-containing protein 7 OS=Dictyostelium discoideum GN=commd7 PE=4 SV=1	sp|Q86I14|COMD7_DICDI	24 kDa	TRUE	2
Twinfilin OS=Dictyostelium discoideum GN=twfA PE=1 SV=1	sp|Q869T1|TWF_DICDI	38 kDa		2
Putative uncharacterized protein cnxA OS=Dictyostelium discoideum GN=cnxA PE=3 SV=1	tr|Q55BA8|Q55BA8_DICDI	61 kDa	TRUE	2
FolD bifunctional protein [Includes: Met	sp|P24186|FOLD_ECOLI	31 kDa		2
Ras-related protein Rab-32A OS=Dictyostelium discoideum GN=rab32A PE=1 SV=1	sp|Q54QR3|RB32A_DICDI	25 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0294557 PE=4 SV=2	tr|Q1ZXJ2|Q1ZXJ2_DICDI	56 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187641 PE=4 SV=1	tr|Q54JU2|Q54JU2_DICDI	27 kDa		2
Amidophosphoribosyltransferase OS=Dictyostelium discoideum GN=purF PE=3 SV=1	sp|Q86A85|PUR1_DICDI	57 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167437 PE=4 SV=1	tr|Q86I26|Q86I26_DICDI	16 kDa		2
Possible protease sohB (EC 3.4.21.-).	sp|P0AG14|SOHB_ECOLI	39 kDa		2
Calcium-binding protein 2 OS=Dictyostelium discoideum GN=cbp2 PE=2 SV=1	sp|P54653|CBP2_DICDI	20 kDa		3
