Identified Proteins (993)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha1
NSFL1 cofactor p47 homolog OS=Dictyostelium discoideum GN=nsfl1c PE=3 SV=1	sp|Q54BQ5|NSF1C_DICDI	45 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205874 PE=4 SV=1	tr|Q54W38|Q54W38_DICDI	102 kDa		4
Chaperone clpB (Heat-shock protein F84.1	sp|P63284|CLPB_ECOLI	96 kDa		3
Proteasome subunit alpha type-5 OS=Dictyostelium discoideum GN=psmA5 PE=3 SV=1	sp|Q55G04|PSA5_DICDI	27 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218469 PE=4 SV=1	tr|Q54RD5|Q54RD5_DICDI	12 kDa		3
Histone H4 OS=Dictyostelium discoideum GN=H4a PE=1 SV=1	sp|Q76NW2|H4_DICDI	12 kDa		3
60S ribosomal protein L31 OS=Dictyostelium discoideum GN=rpl31 PE=3 SV=1	sp|Q54XB5|RL31_DICDI	13 kDa		3
Activator of 90 kDa heat shock protein ATPase homolog OS=Dictyostelium discoideum GN=ahsa PE=2 SV=1	sp|Q55DB6|AHSA_DICDI	43 kDa		4
Polyadenylate-binding protein 2 OS=Dictyostelium discoideum GN=pabpn1 PE=3 SV=1	sp|Q54ZS8|PABP2_DICDI	25 kDa		3
Probable ethanolamine kinase A OS=Dictyostelium discoideum GN=etnkA PE=3 SV=1	sp|Q869T9|EKIA_DICDI	41 kDa		4
PH domain-containing rcdII OS=Dictyostelium discoideum GN=rcdII PE=2 SV=1	sp|Q54Q72|RDCII_DICDI	52 kDa	TRUE	3
Proteasome subunit beta type-2 OS=Dictyostelium discoideum GN=psmB2 PE=3 SV=1	sp|Q55DY7|PSB2_DICDI	22 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204554 PE=4 SV=1	tr|Q54TR3|Q54TR3_DICDI	16 kDa		3
Proliferating cell nuclear antigen OS=Dictyostelium discoideum GN=pcna PE=3 SV=1	sp|Q54K47|PCNA_DICDI	28 kDa		2
Putative uncharacterized protein mapbpip OS=Dictyostelium discoideum GN=mapbpip PE=4 SV=2	tr|Q54F59|Q54F59_DICDI	14 kDa		4
Glutamate-rich WD repeat-containing protein 1 OS=Dictyostelium discoideum GN=grwd1 PE=3 SV=1	sp|Q54ED4|GRWD1_DICDI	55 kDa		3
Cytochrome d ubiquinol oxidase subunit I	sp|P0ABJ9|CYDA_ECOLI	58 kDa		3
Isochorismatase hydrolase OS=Dictyostelium discoideum GN=DDB_G0295669 PE=4 SV=1	tr|B0G192|B0G192_DICDI	20 kDa		4
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0270028 PE=4 SV=1	tr|Q55CJ9|Q55CJ9_DICDI	54 kDa		4
Thioredoxin fold domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0272418 PE=4 SV=1	tr|B0G106|B0G106_DICDI	15 kDa		3
N-acetyl-D-glucosamine kinase OS=Dictyostelium discoideum GN=nagk PE=3 SV=1	sp|Q54PM7|NAGK_DICDI	35 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185806 PE=4 SV=1	tr|Q54Q82|Q54Q82_DICDI	50 kDa		4
Myb-like protein J OS=Dictyostelium discoideum GN=mybJ PE=3 SV=1	sp|Q869R9|MYBJ_DICDI	81 kDa		3
Ras guanine nucleotide exchange factor F OS=Dictyostelium discoideum GN=gefF PE=2 SV=1	sp|Q54C94|GEFF_DICDI	126 kDa		3
Cellular retinaldehyde-binding/triple function domain-containing protein OS=Dictyostelium discoideum GN=DDB_0190746 PE=4 SV=1	tr|Q55CK3|Q55CK3_DICDI	52 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189080 PE=4 SV=1	tr|Q54FL1|Q54FL1_DICDI	60 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189260 PE=4 SV=1	tr|Q54F32|Q54F32_DICDI	22 kDa		2
Trigger factor (TF).	sp|P0A850|TIG_ECOLI	48 kDa		4
Protein hflK.	sp|P0ABC7|HFLK_ECOLI	46 kDa		3
Inorganic pyrophosphatase (EC 3.6.1.1) (	sp|P0A7A9|IPYR_ECOLI	20 kDa		2
Dihydrolipoyllysine-residue acetyltransf	sp|P06959|ODP2_ECOLI	66 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168564 PE=4 SV=1	tr|Q86I87|Q86I87_DICDI	75 kDa		2
Chaperone protein dnaJ (Heat shock prote	sp|P08622|DNAJ_ECOLI	41 kDa		3
Glutamine-fructose-6-phosphate transaminase OS=Dictyostelium discoideum GN=DDB_0187034 PE=4 SV=1	tr|Q54LK1|Q54LK1_DICDI	71 kDa		3
Serine/threonine-protein kinase pakC OS=Dictyostelium discoideum GN=pakC PE=1 SV=1	sp|Q55GV3|PAKC_DICDI	56 kDa		2
dCTP deaminase OS=Dictyostelium discoideum GN=DDB_G0293580 PE=4 SV=1	tr|Q54BK9|Q54BK9_DICDI	19 kDa		2
UPF0405 protein C3orf75 homolog OS=Dictyostelium discoideum GN=DDB_G0268624 PE=3 SV=1	sp|Q9GPT6|CC075_DICDI	38 kDa		3
Phenylalanine-4-hydroxylase OS=Dictyostelium discoideum GN=pah PE=1 SV=1	sp|Q54XS1|PH4H_DICDI	50 kDa		2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0167345 PE=3 SV=1	tr|Q869L6|Q869L6_DICDI	32 kDa		3
Heat shock cognate 70 kDa protein 3 OS=Dictyostelium discoideum GN=DDB_G0293674 PE=3 SV=1	sp|Q54BE0|HS7C3_DICDI	70 kDa	TRUE	46
"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=etfa PE=3 SV=1"	sp|Q54FD7|ETFA_DICDI	38 kDa		4
"ATP synthase subunit delta, mitochondrial OS=Dictyostelium discoideum GN=atp5D PE=3 SV=1"	sp|Q55F42|ATPD_DICDI	19 kDa		4
26S proteasome non-ATPase regulatory subunit 6 OS=Dictyostelium discoideum GN=psmD6 PE=2 SV=1	sp|Q55C75|PSMD6_DICDI	44 kDa		4
"Probable glycerol-3-phosphate dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0283951 PE=3 SV=1"	sp|Q54QC1|GPDM_DICDI	71 kDa		4
Putative calcium up-regulated protein J OS=Dictyostelium discoideum GN=cupJ PE=3 SV=1	sp|Q54Z20|CUPJ_DICDI	73 kDa	TRUE	4
Glycoside hydrolase family 47 protein OS=Dictyostelium discoideum GN=DDB_0191696 PE=4 SV=1	tr|Q54CH4|Q54CH4_DICDI	65 kDa		4
Dihydroorotate dehydrogenase OS=Dictyostelium discoideum GN=pyr4 PE=3 SV=2	sp|P07670|PYRD_DICDI	41 kDa		3
SMAD/FHA domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0291872 PE=4 SV=1	tr|Q54E19|Q54E19_DICDI	102 kDa		3
"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=etfdh PE=3 SV=1"	sp|Q54XM6|ETFD_DICDI	68 kDa	TRUE	3
Cell surface glycoprotein gp138A OS=Dictyostelium discoideum GN=GP138A PE=1 SV=1	sp|P34115|G13A_DICDI	81 kDa		3
Methionine adenosyltransferase regulatory beta subunit OS=Dictyostelium discoideum GN=DDB_G0280135 PE=4 SV=1	tr|Q54VU3|Q54VU3_DICDI	37 kDa		3
Aconitate hydratase 2 (EC 4.2.1.3) (Citr	sp|P36683|ACON2_ECOLI	94 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219676 PE=3 SV=1	tr|Q54EI4|Q54EI4_DICDI	34 kDa		3
Protein arginine N-methyltransferase 1 OS=Dictyostelium discoideum GN=prmt1 PE=3 SV=1	sp|Q54EF2|ANM1_DICDI	39 kDa		3
60S ribosomal protein L10a OS=Dictyostelium discoideum GN=rpl10a PE=3 SV=1	sp|Q86L05|RL10A_DICDI	24 kDa		4
UPF0528 protein OS=Dictyostelium discoideum GN=DDB_G0273237 PE=3 SV=1	sp|Q557B6|U528_DICDI	44 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190423 PE=3 SV=1	tr|Q55DJ4|Q55DJ4_DICDI	19 kDa		3
UDP-glucose 4-epimerase OS=Dictyostelium discoideum GN=galE PE=1 SV=1	sp|Q553X7|GALE_DICDI	38 kDa		2
Phospholipase B-like protein E OS=Dictyostelium discoideum GN=plbE PE=3 SV=1	sp|Q54ZI6|PLBLE_DICDI	64 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0281967 PE=4 SV=1	tr|Q54T73|Q54T73_DICDI	78 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188759 PE=4 SV=1	tr|Q54GG6|Q54GG6_DICDI	41 kDa		2
Proteasome subunit beta type-3 OS=Dictyostelium discoideum GN=psmB3 PE=3 SV=1	sp|Q55D66|PSB3_DICDI	23 kDa		4
Thiamine pyrophosphate-binding enzyme family protein OS=Dictyostelium discoideum GN=ilvB PE=3 SV=1	tr|B0G117|B0G117_DICDI	71 kDa		2
"Aminomethyltransferase, mitochondrial OS=Dictyostelium discoideum GN=gcvT PE=3 SV=1"	sp|Q54DD3|GCST_DICDI	44 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186806 PE=4 SV=1	tr|Q54MA4|Q54MA4_DICDI	59 kDa		3
Leucyl-tRNA synthetase (EC 6.1.1.4) (Leu	sp|P07813|SYL_ECOLI	97 kDa		2
Proteasome subunit alpha type-2 OS=Dictyostelium discoideum GN=psmA2 PE=3 SV=1	sp|Q54DM7|PSA2_DICDI	26 kDa		3
Phospholipase D Z OS=Dictyostelium discoideum GN=pldZ PE=3 SV=1	sp|Q54SA1|PLDZ_DICDI	47 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168996 PE=4 SV=1	tr|Q86L27|Q86L27_DICDI	44 kDa		2
Malignant T cell amplified sequence 1 homolog OS=Dictyostelium discoideum GN=mcts1 PE=3 SV=1	sp|Q86KL4|MCTS1_DICDI	20 kDa		2
Outer membrane lipoprotein slyB precurso	sp|P0A905|SLYB_ECOLI	16 kDa		4
50S ribosomal protein L30.	sp|P0AG51|RL30_ECOLI	6 kDa		4
Aerobic glycerol-3-phosphate dehydrogena	sp|P13035|GLPD_ECOLI	57 kDa		3
Peptide methionine sulfoxide reductase OS=Dictyostelium discoideum GN=msrA PE=3 SV=1	sp|Q551H3|MSRA_DICDI	17 kDa		4
DJ-1/ThiJ/PfpI family protein OS=Dictyostelium discoideum GN=PFP1 PE=4 SV=1	tr|Q869N4|Q869N4_DICDI	21 kDa	TRUE	4
Small heat shock protein hspL OS=Dictyostelium discoideum GN=hspL PE=3 SV=1	sp|Q55GH8|HSPL_DICDI	15 kDa		3
Glutaredoxin-like protein OS=Dictyostelium discoideum GN=grxB PE=3 SV=1	sp|Q54EX7|GLRXL_DICDI	14 kDa		3
Alpha-soluble NSF attachment protein OS=Dictyostelium discoideum GN=snpA PE=1 SV=1	sp|Q54NP6|SNAA_DICDI	32 kDa		3
Glycoprotein 24B OS=Dictyostelium discoideum GN=csbB PE=1 SV=1	sp|P16643|CSBB_DICDI	12 kDa		3
"Seryl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=serS PE=1 SV=1"	sp|Q7KWQ2|SYSC_DICDI	52 kDa		3
Protein hfq (Host factor-I protein) (HF-	sp|P0A6X3|HFQ_ECOLI	11 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187265 PE=4 SV=1	tr|Q54KW1|Q54KW1_DICDI	14 kDa		3
Delta 9 fatty acid desaturase OS=Dictyostelium discoideum GN=DDB_0168056 PE=3 SV=1	tr|Q556T4|Q556T4_DICDI	90 kDa		3
Ras-related GTP-binding protein A OS=Dictyostelium discoideum GN=ragA PE=2 SV=1	sp|Q54IK1|RRAGA_DICDI	35 kDa		3
"Adenylate kinase 2, mitochondrial OS=Dictyostelium discoideum GN=adkA PE=3 SV=1"	sp|Q54QJ9|KAD2_DICDI	31 kDa		3
Protein phosphatase 2C OS=Dictyostelium discoideum GN=DDB_0205493 PE=3 SV=1	tr|Q54Y00|Q54Y00_DICDI	33 kDa		3
Myb domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0277033 PE=4 SV=1	tr|Q550R6|Q550R6_DICDI	136 kDa		3
Ribosome maturation protein SBDS OS=Dictyostelium discoideum GN=sbds PE=3 SV=2	sp|Q86KZ5|SBDS_DICDI	31 kDa	TRUE	3
60S ribosomal protein L37a OS=Dictyostelium discoideum GN=rpl37A PE=3 SV=1	sp|Q54UG4|RL37A_DICDI (+1)	10 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191758 PE=4 SV=1	tr|Q54CB7|Q54CB7_DICDI	104 kDa		3
Protein dcd1A OS=Dictyostelium discoideum GN=dcd1A PE=2 SV=1	sp|Q55BZ5|DCD1A_DICDI	49 kDa		3
Acyl-CoA-binding domain-containing protein 6 homolog OS=Dictyostelium discoideum GN=acbd6 PE=3 SV=1	sp|Q54GC8|ACBD6_DICDI	33 kDa		3
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0291155 PE=1 SV=1	tr|Q54F26|Q54F26_DICDI	34 kDa		3
60S acidic ribosomal protein P1 beta OS=Dictyostelium discoideum GN=rplp1B PE=4 SV=1	tr|Q54JK3|Q54JK3_DICDI	10 kDa	TRUE	4
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Dictyostelium discoideum GN=ndufa8 PE=3 SV=1	sp|Q54P46|NDUA8_DICDI	12 kDa		3
Calcium up-regulated protein B OS=Dictyostelium discoideum GN=cupB PE=2 SV=1	sp|Q7Z203|CUPB_DICDI	86 kDa	TRUE	11
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167193 PE=4 SV=1	tr|Q86IB4|Q86IB4_DICDI	34 kDa		3
Ras-related protein Rab-6 OS=Dictyostelium discoideum GN=rab6 PE=3 SV=1	sp|Q55FK2|RAB6_DICDI	23 kDa		17
Rho-related protein racD OS=Dictyostelium discoideum GN=racD PE=2 SV=3	sp|P34150|RACD_DICDI	28 kDa		3
"Probable 39S ribosomal protein L21, mitochondrial OS=Dictyostelium discoideum GN=mrpl21 PE=3 SV=1"	sp|Q54IF0|RM21_DICDI	19 kDa		2
Flagellar fliJ protein.	rsp|P52613|FLIJ_ECOLI	?		2
PH domain-containing protein DDB_G0267786 OS=Dictyostelium discoideum GN=DDB_G0267786 PE=4 SV=1	sp|Q55G75|Y7786_DICDI	61 kDa		2
Calcium-binding EF-hand domain-containing protein OS=Dictyostelium discoideum GN=DDB_0188774 PE=4 SV=1	tr|Q54GF3|Q54GF3_DICDI	74 kDa		2
ATPase ASNA1 homolog OS=Dictyostelium discoideum GN=arsA PE=1 SV=1	sp|Q8T662|ASNA_DICDI	37 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217695 PE=4 SV=1	tr|Q553B4|Q553B4_DICDI	61 kDa		2
tRNA pseudouridylate synthase OS=Dictyostelium discoideum GN=pus1 PE=4 SV=1	tr|Q54FA0|Q54FA0_DICDI	68 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188832 PE=4 SV=1	tr|Q54G88|Q54G88_DICDI	43 kDa		2
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0191760 PE=4 SV=1	tr|Q54CB5|Q54CB5_DICDI	274 kDa		2
Alanyl-tRNA synthetase (EC 6.1.1.7) (Ala	sp|P00957|SYA_ECOLI	96 kDa	TRUE	2
DNA-directed RNA polymerase alpha chain	sp|P0A7Z4|RPOA_ECOLI	37 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183832 PE=3 SV=1	tr|Q54ET7|Q54ET7_DICDI	58 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206412 PE=4 SV=1	tr|Q54VS8|Q54VS8_DICDI	101 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203044 PE=3 SV=1	tr|Q556W7|Q556W7_DICDI	14 kDa		3
40S ribosomal protein S27 OS=Dictyostelium discoideum GN=rps27 PE=3 SV=2	sp|Q8T1V4|RS27_DICDI	9 kDa		3
3-ketodihydrosphingosine reductase OS=Dictyostelium discoideum GN=ksrA-1 PE=3 SV=1	sp|Q556J2|KDSR_DICDI	36 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204089 PE=4 SV=1	tr|Q54U83|Q54U83_DICDI	43 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187959 PE=4 SV=1	tr|Q54IV5|Q54IV5_DICDI	19 kDa		3
Cold shock protein cspA (CSP-A) (7.4 kDa	sp|P0A9X9|CSPA_ECOLI	7 kDa		3
Probable U6 snRNA-associated Sm-like protein LSm3 OS=Dictyostelium discoideum GN=lsm3 PE=3 SV=1	sp|Q1ZXK3|LSM3_DICDI	11 kDa		3
Rho GTPase-activating protein gacA OS=Dictyostelium discoideum GN=gacA PE=3 SV=1	sp|Q54Y72|GACA_DICDI	37 kDa		3
Copper transport protein ATOX1 homolog OS=Dictyostelium discoideum GN=atox1 PE=3 SV=2	sp|Q54PZ2|ATOX1_DICDI	7 kDa		3
Aspartate aminotransferase (EC 2.6.1.1)	sp|P00509|AAT_ECOLI	44 kDa		3
Flavohemoprotein B OS=Dictyostelium discoideum GN=fhbB PE=1 SV=1	sp|Q54D73|FHBB_DICDI	48 kDa	TRUE	3
Random slug protein 5 OS=Dictyostelium discoideum GN=rsc5 PE=2 SV=1	sp|Q55CU8|RSC5_DICDI	42 kDa		3
"Uncharacterized protein family, carbohydrate kinase-related OS=Dictyostelium discoideum GN=DDB_0189092 PE=4 SV=1"	tr|Q54FJ9|Q54FJ9_DICDI	33 kDa		3
Protein gp17 OS=Dictyostelium discoideum GN=p17 PE=2 SV=1	sp|O77257|P17_DICDI	19 kDa		3
NADP-dependent malic enzyme (EC 1.1.1.40	sp|P76558|MAO2_ECOLI	82 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183829 PE=4 SV=1	tr|Q54EU0|Q54EU0_DICDI	46 kDa		3
Guanine deaminase OS=Dictyostelium discoideum GN=guaD PE=3 SV=1	sp|Q86AW9|GUAD_DICDI	51 kDa		2
Crystal protein OS=Dictyostelium discoideum GN=cryS PE=1 SV=1	sp|P21837|CRYS_DICDI	61 kDa		5
Type-1 glutamine synthetase 2 OS=Dictyostelium discoideum GN=glnA2 PE=3 SV=1	sp|P0C7B6|GLNA2_DICDI (+1)	59 kDa	TRUE	5
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=rae1 PE=4 SV=1	tr|Q54QH0|Q54QH0_DICDI	38 kDa		3
Cycloartenol synthase OS=Dictyostelium discoideum GN=cas1 PE=1 SV=1	sp|Q55D85|CAS1_DICDI	81 kDa		3
Paxillin-B OS=Dictyostelium discoideum GN=paxB PE=2 SV=1	sp|Q8MML5|PAXB_DICDI	62 kDa		3
Phosphatidylinositide phosphatase SAC1 OS=Dictyostelium discoideum GN=sac1 PE=3 SV=1	sp|Q55AW9|SAC1_DICDI	67 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204842 PE=4 SV=1	tr|Q54SA9|Q54SA9_DICDI	61 kDa	TRUE	2
Maf-like protein DDB_G0281937 OS=Dictyostelium discoideum GN=DDB_G0281937 PE=3 SV=1	sp|Q54TC5|MAFL2_DICDI	22 kDa		3
Phenylalanyl-tRNA synthetase alpha chain	sp|P08312|SYFA_ECOLI	37 kDa		2
Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Dictyostelium discoideum GN=fntA PE=3 SV=1	sp|Q54RT9|FNTA_DICDI	38 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189485 PE=4 SV=1	tr|Q55GD7|Q55GD7_DICDI	16 kDa		2
"Leucyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=mleuS PE=3 SV=1"	sp|Q54ET5|SYLM_DICDI	109 kDa		2
Small nuclear ribonucleoprotein F OS=Dictyostelium discoideum GN=snrpf PE=3 SV=1	sp|Q54XP2|RUXF_DICDI	10 kDa		2
Cytochrome c oxidase subunit 3 OS=Dictyostelium discoideum GN=cox3 PE=3 SV=1	sp|O21049|COX3_DICDI	50 kDa		2
Probable geranylgeranyl transferase type-2 subunit beta OS=Dictyostelium discoideum GN=rabggtb PE=3 SV=1	sp|B0G172|PGTB2_DICDI	38 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219445 PE=4 SV=1	tr|Q54HD3|Q54HD3_DICDI	62 kDa		2
"Fructose-1,6-bisphosphatase OS=Dictyostelium discoideum GN=fbp PE=3 SV=1"	sp|Q6RYT0|F16P_DICDI	38 kDa		2
Putative uncharacterized protein adprt2 OS=Dictyostelium discoideum GN=adprt2 PE=2 SV=1	tr|Q8I7C6|Q8I7C6_DICDI (+1)	78 kDa		2
COP9 signalosome complex subunit 6 OS=Dictyostelium discoideum GN=csn6 PE=1 SV=1	sp|Q54C92|CSN6_DICDI	35 kDa		2
Actin-like protein 6A OS=Dictyostelium discoideum GN=arpD PE=3 SV=1	tr|Q54UQ7|Q54UQ7_DICDI	49 kDa		2
UPF0160 protein OS=Dictyostelium discoideum GN=DDB_G0267768 PE=3 SV=1	sp|Q55G91|U160_DICDI	38 kDa		2
Thiol peroxidase (EC 1.11.1.-) (Scavenga	sp|P0A862|TPX_ECOLI	18 kDa		3
60S ribosomal protein L40 OS=Dictyostelium discoideum GN=ubqB PE=3 SV=1	sp|P14794|RL40_DICDI	6 kDa		3
26S proteasome non-ATPase regulatory subunit 10 OS=Dictyostelium discoideum GN=psmD10 PE=2 SV=1	sp|Q54HW1|PSD10_DICDI	25 kDa		3
Counting factor 60 OS=Dictyostelium discoideum GN=cf60 PE=1 SV=1	sp|Q54PR9|CF60_DICDI	47 kDa		2
NHP2-like protein 1 homolog OS=Dictyostelium discoideum GN=DDB_G0282243 PE=3 SV=1	sp|Q54ST0|NH2L1_DICDI	14 kDa		3
UPF0424 protein OS=Dictyostelium discoideum GN=DDB_G0277951 PE=3 SV=1	sp|Q54Z24|U424_DICDI	23 kDa		3
Eukaryotic translation initiation factor 2 subunit 1 OS=Dictyostelium discoideum GN=eif2s1 PE=3 SV=1	sp|Q869N9|IF2A_DICDI	39 kDa		3
GAF domain-containing protein A OS=Dictyostelium discoideum GN=gafA PE=3 SV=1	sp|Q8MTJ7|GAFA_DICDI	18 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0192224 PE=4 SV=1	tr|Q54B13|Q54B13_DICDI	13 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191955 PE=4 SV=1	tr|Q54BS2|Q54BS2_DICDI	49 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0287403 PE=4 SV=1	tr|Q54KD3|Q54KD3_DICDI	17 kDa		3
Aminopeptidase N (EC 3.4.11.2) (Alpha-am	sp|P04825|AMPN_ECOLI	99 kDa		3
V-type proton ATPase subunit H OS=Dictyostelium discoideum GN=vatH PE=1 SV=1	sp|Q8MML6|VATH_DICDI	51 kDa		2
Signal recognition particle subunit SRP68 OS=Dictyostelium discoideum GN=srp68 PE=3 SV=1	sp|Q1ZXE8|SRP68_DICDI	71 kDa		2
PH domain-containing protein DDB_G0287875 OS=Dictyostelium discoideum GN=DDB_G0287875 PE=2 SV=1	sp|Q1ZXE2|Y7875_DICDI	137 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187826 PE=4 SV=1	tr|Q54JA0|Q54JA0_DICDI	35 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186871 PE=4 SV=1	tr|Q54M34|Q54M34_DICDI	10 kDa		2
Dihydropteridine reductase OS=Dictyostelium discoideum GN=qdpr PE=1 SV=1	sp|Q86A17|DHPR_DICDI	25 kDa		2
Putative synaptobrevin homolog YKT6 OS=Dictyostelium discoideum GN=ykt6 PE=1 SV=1	sp|Q54ES8|YKT6_DICDI	23 kDa		3
Methionyl-tRNA synthetase (EC 6.1.1.10)	sp|P00959|SYM_ECOLI	76 kDa		2
NAD(P) transhydrogenase subunit alpha (E	sp|P07001|PNTA_ECOLI	55 kDa		2
50S ribosomal protein L31.	sp|P0A7M9|RL31_ECOLI	8 kDa		2
Fructose-bisphosphate aldolase class II	sp|P0AB71|ALF_ECOLI	39 kDa		2
Enolase superfamily member DDB_G0284701 OS=Dictyostelium discoideum GN=DDB_G0284701 PE=3 SV=1	sp|P0CC06|Y4701_DICDI	50 kDa		2
Periplasmic beta-glucosidase precursor (	sp|P33363|BGLX_ECOLI	83 kDa		2
6-pyruvoyl tetrahydrobiopterin synthase OS=Dictyostelium discoideum GN=ptsA PE=3 SV=1	sp|Q1ZXI0|PTPS_DICDI	16 kDa		2
Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Dictyostelium discoideum GN=dut PE=3 SV=1	sp|Q54BW5|DUT_DICDI	20 kDa		2
Rho GTPase-activating protein gacJJ OS=Dictyostelium discoideum GN=gacJJ PE=3 SV=1	sp|Q54FG5|GACJJ_DICDI	97 kDa		2
Probable prefoldin subunit 4 OS=Dictyostelium discoideum GN=pfdn4 PE=3 SV=1	sp|Q54TB7|PFD4_DICDI	15 kDa		2
tRNA (guanine-N(7)-)-methyltransferase subunit WDR4 OS=Dictyostelium discoideum GN=wdr4 PE=3 SV=1	sp|Q54UI3|WDR4_DICDI	53 kDa		2
Probable inactive serine/threonine-protein kinase DDB_G0278909 OS=Dictyostelium discoideum GN=DDB_G0278909 PE=4 SV=1	sp|Q54XI9|Y0124_DICDI	213 kDa		2
"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsC PE=3 SV=1"	sp|Q55AI5|SUCB1_DICDI	48 kDa		2
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Dictyostelium discoideum GN=hibch PE=3 SV=1"	sp|Q55GS6|HIBCH_DICDI	43 kDa		2
Pre-mRNA-processing factor 19 homolog OS=Dictyostelium discoideum GN=prp19 PE=3 SV=1	sp|Q7KWK5|PRP19_DICDI	57 kDa		2
Probable mitogen-activated protein kinase scaffold protein 1 OS=Dictyostelium discoideum GN=DDB_G0274833 PE=3 SV=1	sp|Q86J23|MPKS1_DICDI	14 kDa	TRUE	2
LIM domain-containing protein D OS=Dictyostelium discoideum GN=limD PE=2 SV=1	sp|Q9BIW4|LIMD_DICDI	22 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191867 PE=4 SV=1	tr|Q54C01|Q54C01_DICDI	131 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183870 PE=4 SV=1	tr|Q54EQ2|Q54EQ2_DICDI	17 kDa		2
Putative uncharacterized protein (Fragment) OS=Dictyostelium discoideum GN=DDB_G0287257 PE=4 SV=1	tr|Q54KM5|Q54KM5_DICDI	56 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186233 PE=4 SV=1	tr|Q54P12|Q54P12_DICDI	23 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205464 PE=4 SV=1	tr|Q54Y28|Q54Y28_DICDI	93 kDa		2
