Identified Proteins (876)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Gbeta_2
Serine hydroxymethyltransferase 2 OS=Dictyostelium discoideum GN=shmt2 PE=3 SV=1	sp|Q54EW1|GLYC2_DICDI	54 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168996 PE=4 SV=1	tr|Q86L27|Q86L27_DICDI	44 kDa	TRUE	4
Acetyl-CoA C-acyltransferase OS=Dictyostelium discoideum GN=DDB_0167887 PE=3 SV=1	tr|Q86IY4|Q86IY4_DICDI	44 kDa		9
50S ribosomal protein L10 (50S ribosomal	sp|P0A7J3|RL10_ECOLI	18 kDa		5
Phosphomannomutase 1 OS=Dictyostelium discoideum GN=pmmA PE=3 SV=1	sp|Q54X03|PMM1_DICDI	29 kDa	TRUE	6
Probable phosphoglycerate mutase OS=Dictyostelium discoideum GN=gpmA PE=1 SV=1	sp|Q54NE6|PGAM_DICDI	28 kDa		8
Proteasome subunit beta type-4 OS=Dictyostelium discoideum GN=psmB4-1 PE=3 SV=1	sp|Q556Q0|PSB4_DICDI	29 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206266 PE=4 SV=1	tr|Q54XJ8|Q54XJ8_DICDI	45 kDa		3
Nascent polypeptide-associated complex subunit alpha OS=Dictyostelium discoideum GN=nacA PE=3 SV=1	sp|Q54U07|NACA_DICDI	17 kDa		5
Serine/threonine-protein phosphatase 2A catalytic subunit A OS=Dictyostelium discoideum GN=pho2A PE=1 SV=1	sp|Q9XZE5|PP2AA_DICDI	35 kDa		4
Proteasome subunit beta type-2 OS=Dictyostelium discoideum GN=psmB2 PE=3 SV=1	sp|Q55DY7|PSB2_DICDI	22 kDa		3
Dihydropyrimidine dehydrogenase [NADP+] OS=Dictyostelium discoideum GN=pyd1 PE=2 SV=1	sp|Q55FT1|DPYD_DICDI	110 kDa		5
Phenylalanyl-tRNA synthetase alpha chain OS=Dictyostelium discoideum GN=pheSA PE=3 SV=1	sp|Q54KS8|SYFA_DICDI	56 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189735 PE=4 SV=1	tr|Q55FM3|Q55FM3_DICDI	22 kDa		3
WD repeat-containing protein 61 homolog OS=Dictyostelium discoideum GN=wdr61 PE=4 SV=1	sp|Q54S59|WDR61_DICDI	32 kDa		0
Probable H/ACA ribonucleoprotein complex subunit 1 OS=Dictyostelium discoideum GN=gar1 PE=3 SV=1	sp|Q54XE6|GAR1_DICDI	22 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168187 PE=4 SV=1	tr|Q557H6|Q557H6_DICDI	26 kDa	TRUE	2
Eukaryotic translation initiation factor 2 subunit 3 OS=Dictyostelium discoideum GN=eif2s3 PE=2 SV=1	sp|Q54XD8|IF2G_DICDI	50 kDa	TRUE	2
AhpC/TSA family protein OS=Dictyostelium discoideum GN=DDB_G0275755 PE=4 SV=1	tr|Q552Z0|Q552Z0_DICDI	22 kDa		4
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0168319 PE=1 SV=1	tr|Q86JB5|Q86JB5_DICDI	34 kDa		0
FACT complex subunit SPT16 OS=Dictyostelium discoideum GN=spt16 PE=3 SV=1	rsp|Q54S43|SPT16_DICDI	121 kDa	TRUE	0
Putative uncharacterized protein adprt1A OS=Dictyostelium discoideum GN=adprt1A PE=4 SV=1	tr|Q54XI2|Q54XI2_DICDI (+1)	107 kDa		2
"Probable 28S ribosomal protein S10, mitochondrial OS=Dictyostelium discoideum GN=mrps10 PE=3 SV=1"	sp|Q54WA4|RT10_DICDI	15 kDa		4
Uncharacterized mitochondrial protein 30 OS=Dictyostelium discoideum GN=DidioMp30 PE=4 SV=1	sp|O21034|MP30_DICDI	23 kDa	TRUE	5
Proteasome subunit alpha type-1 OS=Dictyostelium discoideum GN=psmA1 PE=3 SV=1	sp|Q27562|PSA1_DICDI	28 kDa		0
Type A von Willebrand factor domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205268 PE=1 SV=1	tr|Q54SU8|Q54SU8_DICDI	77 kDa		2
Eukaryotic peptide chain release factor GTP-binding subunit OS=Dictyostelium discoideum GN=erf3 PE=2 SV=1	sp|Q7YZN9|ERF3_DICDI	61 kDa		2
Phenylalanyl-tRNA synthetase beta chain	sp|P07395|SYFB_ECOLI	87 kDa		2
Putative uncharacterized protein gaa OS=Dictyostelium discoideum GN=gaa PE=4 SV=1	tr|Q55D50|Q55D50_DICDI	96 kDa		2
Protein VASP homolog OS=Dictyostelium discoideum GN=vasp PE=1 SV=1	sp|Q5TJ65|VASP_DICDI	39 kDa		3
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit swp1 OS=Dictyostelium discoideum GN=swp1 PE=3 SV=1	sp|Q54HG9|RPN2_DICDI	76 kDa		2
Probable mitochondrial 2-oxodicarboxylate carrier OS=Dictyostelium discoideum GN=mcfT PE=3 SV=1	sp|Q55GE2|ODC_DICDI	32 kDa		0
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0201846 PE=1 SV=1	tr|Q55D63|Q55D63_DICDI	43 kDa		2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_G0289059 PE=4 SV=2	tr|Q54I22|Q54I22_DICDI	37 kDa		3
Cullin-5 OS=Dictyostelium discoideum GN=culE PE=3 SV=1	sp|Q54XF7|CUL5_DICDI	87 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186033 PE=4 SV=1	tr|Q54PK7|Q54PK7_DICDI	44 kDa		0
"60S ribosomal protein L2, mitochondrial OS=Dictyostelium discoideum GN=mrpl2 PE=3 SV=1"	sp|Q23888|RM02_DICDI	30 kDa	TRUE	2
"Glutaryl-CoA dehydrogenase, mitochondrial OS=Dictyostelium discoideum GN=gcdh PE=3 SV=1"	sp|Q54R47|GCDH_DICDI	46 kDa		3
"Cytochrome c1, heme protein, mitochondrial OS=Dictyostelium discoideum GN=cyc1 PE=3 SV=1"	sp|Q54D07|CY1_DICDI	31 kDa		0
Adenylate kinase (EC 2.7.4.3) (ATP-AMP t	sp|P69441|KAD_ECOLI	24 kDa		4
Trafficking protein particle complex subunit 5 OS=Dictyostelium discoideum GN=trappc5 PE=3 SV=1	sp|Q54YG5|TPPC5_DICDI	21 kDa		2
30S ribosomal protein S3.	sp|P0A7V3|RS3_ECOLI	26 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186514 PE=4 SV=1	tr|Q54N71|Q54N71_DICDI	53 kDa		4
Peptide methionine sulfoxide reductase OS=Dictyostelium discoideum GN=msrA PE=3 SV=1	sp|Q551H3|MSRA_DICDI	17 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190423 PE=3 SV=1	tr|Q55DJ4|Q55DJ4_DICDI	19 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167992 PE=4 SV=1	tr|Q556K7|Q556K7_DICDI	82 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218901 PE=4 SV=1	tr|Q54KR6|Q54KR6_DICDI	71 kDa		3
UPF0587 protein OS=Dictyostelium discoideum GN=DDB_G0270194 PE=3 SV=1	sp|Q55C72|U587_DICDI	18 kDa	TRUE	5
Phytanoyl-CoA dioxygenase domain-containing protein 1 homolog OS=Dictyostelium discoideum GN=phyhd1 PE=3 SV=1	sp|Q54XH6|PHYD1_DICDI	32 kDa		0
Myosin light chain kinase A OS=Dictyostelium discoideum GN=mlkA PE=1 SV=2	sp|P25323|MYLKA_DICDI	33 kDa		0
Prespore-specific protein OS=Dictyostelium discoideum GN=3B PE=4 SV=1	tr|Q9BI24|Q9BI24_DICDI	24 kDa		4
Ferritin-1 (EC 1.16.3.1).	sp|P0A998|FTNA_ECOLI	19 kDa		4
Penta-EF hand domain-containing protein 1 OS=Dictyostelium discoideum GN=pefA PE=1 SV=1	sp|Q95YL5|PEFA_DICDI	22 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204191 PE=4 SV=1	tr|Q54SN3|Q54SN3_DICDI	28 kDa		4
Ras-related protein Rab-1D OS=Dictyostelium discoideum GN=rab1D PE=1 SV=1	sp|Q54NU2|RAB1D_DICDI	23 kDa	TRUE	5
Putative ras-related protein Rab-5B OS=Dictyostelium discoideum GN=rab5B PE=5 SV=1	rsp|Q54RX9|RAB5B_DICDI	23 kDa		2
NADH-cytochrome b5 reductase 1 OS=Dictyostelium discoideum GN=cyb5r1 PE=3 SV=1	sp|Q54NC1|NCB5R_DICDI	32 kDa		0
Cathepsin D OS=Dictyostelium discoideum GN=ctsD PE=1 SV=1	sp|O76856|CATD_DICDI	41 kDa		5
"Elongation factor Ts, mitochondrial OS=Dictyostelium discoideum GN=tsfm PE=3 SV=1"	sp|Q54LV3|EFTS_DICDI	40 kDa		0
"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Dictyostelium discoideum GN=scsB PE=3 SV=1"	sp|Q869S7|SUCB2_DICDI	46 kDa		6
Ras-related GTP-binding protein A OS=Dictyostelium discoideum GN=ragA PE=2 SV=1	sp|Q54IK1|RRAGA_DICDI	35 kDa		0
Lysosomal alpha-mannosidase OS=Dictyostelium discoideum GN=manA PE=1 SV=2	sp|P34098|MANA_DICDI	113 kDa		2
"Citrate synthase, peroxisomal OS=Dictyostelium discoideum GN=cshA PE=2 SV=1"	sp|Q8MQU6|CISYP_DICDI	56 kDa		2
"Aspartyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=maspS PE=3 SV=1"	sp|Q55C99|SYDM_DICDI	79 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0288519 PE=4 SV=1	tr|Q54IU1|Q54IU1_DICDI	52 kDa	TRUE	2
Cortexillin-1 OS=Dictyostelium discoideum GN=ctxA PE=1 SV=1	sp|Q54HG2|CTXA_DICDI	51 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189429 PE=4 SV=1	tr|Q55GJ5|Q55GJ5_DICDI	42 kDa		3
Ras-like protein rasB OS=Dictyostelium discoideum GN=rasB PE=1 SV=1	sp|P32252|RASB_DICDI	22 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0276569 PE=4 SV=1	tr|Q551I8|Q551I8_DICDI	45 kDa		2
Isochorismatase family protein 1A OS=Dictyostelium discoideum GN=DDB_G0285041 PE=3 SV=1	sp|Q54NZ6|ISC1A_DICDI (+1)	24 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217812 PE=4 SV=1	tr|Q86HW2|Q86HW2_DICDI	75 kDa		3
Proteasomal ubiquitin receptor ADRM1 homolog OS=Dictyostelium discoideum GN=adrm1-1 PE=1 SV=1	sp|Q556N5|ADRM1_DICDI	32 kDa		2
Probable 2-ketogluconate reductase OS=Dictyostelium discoideum GN=tkrA PE=3 SV=1	sp|Q54DP1|TKRA_DICDI	37 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189392 PE=4 SV=1	tr|Q55GN4|Q55GN4_DICDI	61 kDa		2
Insulin-degrading enzyme homolog OS=Dictyostelium discoideum GN=DDB_G0287851 PE=3 SV=1	sp|Q54JQ2|IDE_DICDI	112 kDa		2
Superoxide dismutase [Cu-Zn] 5 OS=Dictyostelium discoideum GN=sodE PE=3 SV=1	sp|Q54G70|SODC5_DICDI	16 kDa		4
Maleylacetoacetate isomerase OS=Dictyostelium discoideum GN=mai PE=3 SV=1	sp|Q54YN2|MAAI_DICDI	25 kDa		4
Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Dictyostelium discoideum GN=qprt PE=3 SV=1	sp|Q75JX0|NADC_DICDI	33 kDa		4
Probable adenylate kinase B OS=Dictyostelium discoideum GN=adkB PE=3 SV=1	sp|Q54CT8|KADB_DICDI	26 kDa		3
60S ribosomal protein L34 OS=Dictyostelium discoideum GN=rpl34 PE=3 SV=1	sp|Q54LV8|RL34_DICDI	14 kDa		3
Probable ornithine aminotransferase OS=Dictyostelium discoideum GN=oatA PE=3 SV=1	sp|Q54JP5|OAT_DICDI	46 kDa	TRUE	7
WH2 domain-containing protein OS=Dictyostelium discoideum GN=wipA PE=4 SV=1	rtr|Q55BN3|Q55BN3_DICDI	19 kDa		0
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=pksB PE=2 SV=1	tr|O15744|O15744_DICDI	29 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188987 PE=4 SV=1	tr|Q54FT2|Q54FT2_DICDI	69 kDa		2
Hypoxanthine-guanine phosphoribosyltransferase OS=Dictyostelium discoideum GN=hprT PE=1 SV=1	sp|Q54NJ8|HPRT_DICDI	21 kDa		0
Purine nucleoside phosphorylase deoD-typ	sp|P0ABP8|DEOD_ECOLI	26 kDa		4
Sepiapterin reductase OS=Dictyostelium discoideum GN=sprA PE=1 SV=1	sp|Q54GP3|SPRE_DICDI	30 kDa		0
Beta-ureidopropionase OS=Dictyostelium discoideum GN=pyd3 PE=1 SV=1	sp|Q964D8|BUP1_DICDI	44 kDa		5
Uridine phosphorylase OS=Dictyostelium discoideum GN=udpB PE=4 SV=1	tr|Q54UM3|Q54UM3_DICDI	32 kDa		0
GTP cyclohydrolase 1 OS=Dictyostelium discoideum GN=gchA PE=1 SV=2	sp|Q94465|GCH1_DICDI	26 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188355 PE=4 SV=1	tr|Q54HQ0|Q54HQ0_DICDI	14 kDa		2
Protein LST8 homolog OS=Dictyostelium discoideum GN=lst8 PE=1 SV=1	sp|Q54D08|LST8_DICDI	33 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219389 PE=4 SV=1	rtr|Q54IB4|Q54IB4_DICDI	57 kDa		0
Ribosome maturation protein SBDS OS=Dictyostelium discoideum GN=sbds PE=3 SV=2	sp|Q86KZ5|SBDS_DICDI	31 kDa		0
Outer membrane protein A precursor (Oute	sp|P0A910|OMPA_ECOLI	37 kDa		3
SNO glutamine amidotransferase family protein OS=Dictyostelium discoideum GN=DDB_0215963 PE=1 SV=1	tr|Q54J48|Q54J48_DICDI	28 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189873 PE=4 SV=1	tr|Q55F80|Q55F80_DICDI	99 kDa		2
Probable prefoldin subunit 4 OS=Dictyostelium discoideum GN=pfdn4 PE=3 SV=1	sp|Q54TB7|PFD4_DICDI	15 kDa	TRUE	3
Eukaryotic translation initiation factor 3 subunit K OS=Dictyostelium discoideum GN=eif3k PE=3 SV=2	sp|Q54EQ1|EIF3K_DICDI	29 kDa		0
Probable allantoinase 1 OS=Dictyostelium discoideum GN=allB1 PE=3 SV=1	sp|Q54SV3|ALN1_DICDI	72 kDa		3
DUF255 family protein OS=Dictyostelium discoideum GN=DDB_0202012 PE=4 SV=1	tr|Q55BX2|Q55BX2_DICDI	95 kDa		2
Trafficking protein particle complex subunit 3 OS=Dictyostelium discoideum GN=trappc3 PE=3 SV=2	sp|Q86K94|TPPC3_DICDI	21 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204554 PE=4 SV=1	tr|Q54TR3|Q54TR3_DICDI	16 kDa		3
Ras-related protein Rab-32A OS=Dictyostelium discoideum GN=rab32A PE=1 SV=1	sp|Q54QR3|RB32A_DICDI	25 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184122 PE=4 SV=1	tr|Q54DZ8|Q54DZ8_DICDI	55 kDa		3
Pyruvate kinase I (EC 2.7.1.40) (PK-1).	sp|P0AD61|KPYK1_ECOLI	51 kDa		2
COP9 signalosome complex subunit 8 OS=Dictyostelium discoideum GN=csn8 PE=1 SV=1	sp|Q75K24|CSN8_DICDI	23 kDa		4
Mitochondrial substrate carrier family protein Z OS=Dictyostelium discoideum GN=mcfZ PE=2 SV=1	sp|Q54B67|MCFZ_DICDI	33 kDa		0
Ras-related protein Rab-11C OS=Dictyostelium discoideum GN=rab11C PE=1 SV=1	sp|Q550H6|RB11C_DICDI	25 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217857 PE=4 SV=1	tr|Q550W5|Q550W5_DICDI	32 kDa	TRUE	0
Inositol monophosphatase OS=Dictyostelium discoideum GN=impa1 PE=3 SV=1	sp|Q54U72|IMPA1_DICDI	30 kDa		0
Ras-related protein Rab-2B OS=Dictyostelium discoideum GN=rab2B PE=3 SV=1	sp|Q559X6|RAB2B_DICDI	23 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167402 PE=3 SV=1	tr|Q869Y3|Q869Y3_DICDI	34 kDa		0
50S ribosomal protein L2.	sp|P60422|RL2_ECOLI	30 kDa	TRUE	0
"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Dictyostelium discoideum GN=ndufv2 PE=3 SV=1"	sp|Q54F10|NDUV2_DICDI	28 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167407 PE=4 SV=1	tr|Q86I47|Q86I47_DICDI	34 kDa		0
Probable ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=uch1 PE=3 SV=1	sp|Q54T48|UCHL_DICDI	29 kDa	TRUE	0
UvrB/UvrC domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0277077 PE=4 SV=1	rtr|Q550K0|Q550K0_DICDI	85 kDa		2
DNA-directed RNA polymerase alpha chain	sp|P0A7Z4|RPOA_ECOLI	37 kDa		2
Tubulin beta chain OS=Dictyostelium discoideum GN=tubB PE=1 SV=2	sp|P32256|TBB_DICDI	51 kDa		2
GCN5-related N-acetyltransferase OS=Dictyostelium discoideum GN=DDB_0184156 PE=4 SV=1	tr|Q54DW0|Q54DW0_DICDI	37 kDa		2
Calcium-binding protein 4a OS=Dictyostelium discoideum GN=cbpD1 PE=1 SV=1	sp|Q54RF4|CBP4A_DICDI	19 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167946 PE=4 SV=1	tr|Q556G2|Q556G2_DICDI	24 kDa		2
Translocon-associated protein subunit gamma OS=Dictyostelium discoideum GN=ssr3 PE=3 SV=1	sp|Q55GT5|SSRG_DICDI	19 kDa		2
Thioredoxin fold domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0272418 PE=4 SV=1	tr|B0G106|B0G106_DICDI	15 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191014 PE=4 SV=1	tr|Q55BS7|Q55BS7_DICDI	26 kDa	TRUE	3
Fumarylacetoacetase OS=Dictyostelium discoideum GN=fah PE=3 SV=1	sp|Q1ZXQ1|FAAA_DICDI	47 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184238 PE=4 SV=1	tr|Q54DN0|Q54DN0_DICDI	31 kDa		0
Discoidin-1 subunit D OS=Dictyostelium discoideum GN=dscD-1 PE=1 SV=2	sp|P02888|DIS1D_DICDI	28 kDa	TRUE	0
Phosphatidylinositol transfer protein 2 OS=Dictyostelium discoideum GN=pitB PE=2 SV=1	sp|Q9NCL7|PITP2_DICDI	30 kDa	TRUE	0
Probable allantoinase 1 OS=Dictyostelium discoideum GN=allB1 PE=3 SV=1	rsp|Q54SV3|ALN1_DICDI	72 kDa		2
Ras-related protein Rab-21 OS=Dictyostelium discoideum GN=rab21 PE=1 SV=2	sp|P34142|RAB21_DICDI	23 kDa		2
Probable adenine phosphoribosyltransferase OS=Dictyostelium discoideum GN=aprt PE=3 SV=1	sp|Q55C82|APT_DICDI	23 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205164 PE=4 SV=1	tr|Q54SX1|Q54SX1_DICDI	111 kDa	TRUE	2
5'3'-exonuclease N-and I-domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0281151 PE=4 SV=1	tr|Q54UD1|Q54UD1_DICDI	87 kDa		2
Glucosamine 6-phosphate N-acetyltransferase OS=Dictyostelium discoideum GN=gna1 PE=4 SV=1	tr|Q54WR8|Q54WR8_DICDI	18 kDa		2
Putative uncharacterized protein DD3-3 OS=Dictyostelium discoideum GN=DD3-3 PE=2 SV=1	tr|Q58A42|Q58A42_DICDI	69 kDa		2
Ras-related protein Rab-1B OS=Dictyostelium discoideum GN=rab1B PE=2 SV=2	sp|P34140|RAB1B_DICDI	23 kDa	TRUE	0
Eukaryotic translation initiation factor 3 subunit M OS=Dictyostelium discoideum GN=eif3m PE=1 SV=1	sp|Q54KZ8|EIF3M_DICDI	47 kDa		3
Probable serine/threonine-protein kinase DDB_G0268876 OS=Dictyostelium discoideum GN=DDB_G0268876 PE=3 SV=1	rsp|Q55EI8|Y9956_DICDI	156 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191736 PE=4 SV=1	tr|Q54CD7|Q54CD7_DICDI	35 kDa		0
Cystatin-A1 OS=Dictyostelium discoideum GN=cpiA PE=2 SV=1	sp|Q65YR8|CYTA1_DICDI	10 kDa		0
TIP41-like protein OS=Dictyostelium discoideum GN=tiprl PE=3 SV=1	sp|Q54MI6|TIPRL_DICDI	32 kDa		0
